ING Group Price to Free Cash Flow Ratio Historical Data,ING Group Price to Free Cash Flow Ratio Historical Data,ING Group Price to Free Cash Flow Ratio Historical Data,ING Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,17.27,,inf
2024-03-31,15.32,0,0.0
2023-09-30,12.25,0,0.0
2023-03-31,10.38,0,0.0
2022-03-31,8.31,0,0.0
2021-09-30,11.11,0,0.0
2021-03-31,9.38,0,0.0
2020-09-30,5.36,0,0.0
2020-03-31,3.9,$1.04,3.76
2019-09-30,7.91,$-2.32,0.0
2019-03-31,8.99,$-3.97,0.0
2018-06-30,10.39,$-4.37,0.0
2017-06-30,12.06,$-1.21,0.0
2016-06-30,6.81,$1.31,5.19
2015-12-31,8.55,$2.97,2.88
2015-09-30,8.98,$7.39,1.21
2015-06-30,10.36,$3.20,3.24
2015-03-31,9.05,$4.03,2.25
2014-12-31,8.04,$4.03,1.99
2014-09-30,8.79,$-3.02,0.0
2014-06-30,8.69,$-3.02,0.0
2014-03-31,8.83,$-3.02,0.0
2013-12-31,8.68,$-3.02,0.0
2013-09-30,7.03,$-3.28,0.0
2013-06-30,5.63,$2.03,2.77
2013-03-31,4.47,$-6.46,0.0
2012-12-31,5.88,$-3.28,0.0
2012-09-30,4.89,$6.73,0.73
2012-06-30,4.14,$-5.31,0.0
2011-12-31,4.44,$3.19,1.39
2011-09-30,4.37,$-1.76,0.0
2011-06-30,7.67,$-10.44,0.0
2011-03-31,7.88,$-1.76,0.0
2010-12-31,6.07,$-1.76,0.0
2010-09-30,6.38,$-2.41,0.0
2010-06-30,4.59,$-1.57,0.0
2010-03-31,6.17,$-18.07,0.0
2009-12-31,6.08,$-18.07,0.0
2009-09-30,11.05,$-15.66,0.0
