Prosperity Bancshares Price to Free Cash Flow Ratio Historical Data,Prosperity Bancshares Price to Free Cash Flow Ratio Historical Data,Prosperity Bancshares Price to Free Cash Flow Ratio Historical Data,Prosperity Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,74.73,,10.7
2024-06-30,60.67,$6.98,8.69
2024-03-31,64.65,$6.82,9.48
2023-12-31,65.95,$6.76,9.76
2023-09-30,52.71,$6.28,8.39
2023-06-30,54.02,$5.86,9.21
2023-03-31,58.3,$4.70,12.41
2022-12-31,68.27,$5.18,13.19
2022-09-30,62.14,$6.06,10.26
2022-06-30,63.16,$5.97,10.58
2022-03-31,63.69,$7.38,8.63
2021-12-31,65.89,$7.55,8.72
2021-09-30,64.35,$7.70,8.36
2021-06-30,64.48,$6.33,10.19
2021-03-31,66.81,$6.51,10.27
2020-12-31,61.5,$6.17,9.97
2020-09-30,45.62,$5.62,8.12
2020-06-30,51.81,$7.09,7.3
2020-03-31,41.79,$5.60,7.46
2019-12-31,61.76,$5.30,11.65
2019-09-30,60.29,$6.20,9.72
2019-06-30,56.05,$5.17,10.84
2019-03-31,58.25,$5.36,10.87
2018-12-31,52.26,$4.56,11.47
2018-09-30,57.8,$3.86,14.99
2018-06-30,56.69,$4.77,11.88
2018-03-31,59.93,$4.56,13.15
2017-12-31,57.55,$5.61,10.26
2017-09-30,53.71,$4.82,11.14
2017-06-30,52.19,$4.65,11.22
2017-03-31,56.35,$4.75,11.86
2016-12-31,57.76,$4.92,11.73
2016-09-30,43.95,$5.59,7.86
2016-06-30,40.6,$4.98,8.15
2016-03-31,36.72,$5.09,7.22
2015-12-31,37.62,$4.49,8.38
2015-09-30,38.37,$5.10,7.52
2015-06-30,44.88,$5.12,8.76
2015-03-31,40.6,$5.26,7.72
2014-12-31,42.61,$5.30,8.04
2014-09-30,43.78,$5.14,8.52
2014-06-30,47.75,$5.18,9.22
2014-03-31,50.26,$4.65,10.8
2013-12-31,47.98,$4.89,9.82
2013-09-30,46.63,$4.42,10.54
2013-06-30,38.91,$5.02,7.75
2013-03-31,35.45,$4.98,7.11
2012-12-31,31.27,$4.12,7.58
2012-09-30,31.56,$4.44,7.11
2012-06-30,30.99,$4.11,7.53
2012-03-31,33.6,$4.20,8.0
2011-12-31,29.48,$4.73,6.23
2011-09-30,23.75,$4.68,5.08
2011-06-30,31.69,$4.53,6.99
2011-03-31,30.79,$4.49,6.86
2010-12-31,28.15,$4.25,6.62
2010-09-30,23.16,$3.56,6.5
2010-06-30,24.66,$2.92,8.45
2010-03-31,28.96,$2.23,12.97
2009-12-31,28.48,$1.43,19.9
