Selective Insurance Price to Free Cash Flow Ratio Historical Data,Selective Insurance Price to Free Cash Flow Ratio Historical Data,Selective Insurance Price to Free Cash Flow Ratio Historical Data,Selective Insurance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,98.89,,7.36
2024-06-30,93.46,$13.43,6.96
2024-03-31,108.35,$11.70,9.26
2023-12-31,98.4,$12.08,8.15
2023-09-30,101.7,$13.45,7.56
2023-06-30,94.31,$13.65,6.91
2023-03-31,93.42,$13.49,6.92
2022-12-31,86.58,$12.75,6.79
2022-09-30,79.28,$11.25,7.04
2022-06-30,84.38,$11.44,7.37
2022-03-31,86.42,$11.67,7.4
2021-12-31,78.95,$12.35,6.39
2021-09-30,72.52,$11.54,6.28
2021-06-30,77.68,$10.45,7.44
2021-03-31,69.21,$10.39,6.66
2020-12-31,63.68,$8.82,7.22
2020-09-30,48.74,$8.58,5.68
2020-06-30,49.72,$8.02,6.2
2020-03-31,46.63,$7.31,6.38
2019-12-31,60.96,$7.44,8.19
2019-09-30,70.07,$7.50,9.35
2019-06-30,69.61,$8.39,8.3
2019-03-31,58.65,$8.16,7.19
2018-12-31,56.31,$7.35,7.66
2018-09-30,58.49,$6.17,9.47
2018-06-30,50.51,$6.10,8.28
2018-03-31,55.57,$5.66,9.82
2017-12-31,53.57,$6.16,8.7
2017-09-30,48.99,$7.20,6.8
2017-06-30,45.39,$5.92,7.66
2017-03-31,42.62,$5.45,7.82
2016-12-31,38.77,$5.30,7.32
2016-09-30,35.75,$4.81,7.43
2016-06-30,34.14,$4.42,7.73
2016-03-31,32.58,$5.48,5.94
2015-12-31,29.75,$6.28,4.73
2015-09-30,27.4,$5.46,5.02
2015-06-30,24.63,$5.37,4.59
2015-03-31,25.38,$4.24,5.98
2014-12-31,23.62,$3.79,6.23
2014-09-30,19.14,$4.27,4.49
2014-06-30,21.26,$5.21,4.08
2014-03-31,19.94,$5.76,3.46
2013-12-31,23.01,$5.67,4.06
2013-09-30,20.73,$4.99,4.16
2013-06-30,19.37,$4.62,4.2
2013-03-31,20.1,$3.65,5.5
2012-12-31,16.03,$3.82,4.19
2012-09-30,15.69,$2.68,5.86
2012-06-30,14.27,$1.79,7.95
2012-03-31,14.33,$2.13,6.72
2011-12-31,14.32,$2.01,7.12
2011-09-30,10.46,$3.15,3.32
2011-06-30,12.93,$2.81,4.6
2011-03-31,13.64,$2.69,5.07
2010-12-31,14.21,$2.80,5.07
2010-09-30,12.66,$2.88,4.4
2010-06-30,11.45,$3.80,3.01
2010-03-31,12.69,$3.68,3.45
2009-12-31,12.47,$4.11,3.04
