DT Midstream Price to Free Cash Flow Ratio Historical Data,DT Midstream Price to Free Cash Flow Ratio Historical Data,DT Midstream Price to Free Cash Flow Ratio Historical Data,DT Midstream Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,86.26,,29.6
2024-06-30,71.03,$2.91,24.38
2024-03-31,61.1,$1.57,39.01
2023-12-31,54.8,$0.27,205.47
2023-09-30,52.92,$-0.23,0.0
2023-06-30,49.57,$0.32,156.77
2023-03-31,49.37,$1.94,25.45
2022-12-31,55.26,$3.98,13.88
2022-09-30,51.89,$4.79,10.82
2022-06-30,48.47,$7.80,6.22
