GATX Price to Free Cash Flow Ratio Historical Data,GATX Price to Free Cash Flow Ratio Historical Data,GATX Price to Free Cash Flow Ratio Historical Data,GATX Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,134.4,,0.0
2024-06-30,131.81,$-31.12,0.0
2024-03-31,132.88,$-31.68,0.0
2023-12-31,118.64,$-32.06,0.0
2023-09-30,106.91,$-28.52,0.0
2023-06-30,125.87,$-24.89,0.0
2023-03-31,107.1,$-20.95,0.0
2022-12-31,103.0,$-20.12,0.0
2022-09-30,82.09,$-18.14,0.0
2022-06-30,90.29,$-16.85,0.0
2022-03-31,117.63,$-12.84,0.0
2021-12-31,98.88,$-17.30,0.0
2021-09-30,84.58,$-17.04,0.0
2021-06-30,83.07,$-19.46,0.0
2021-03-31,86.62,$-20.23,0.0
2020-12-31,77.29,$-11.98,0.0
2020-09-30,58.9,$-10.98,0.0
2020-06-30,55.92,$-10.01,0.0
2020-03-31,56.92,$-13.31,0.0
2019-12-31,74.88,$-8.19,0.0
2019-09-30,69.69,$-26.35,0.0
2019-06-30,70.87,$-19.90,0.0
2019-03-31,67.84,$-10.64,0.0
2018-12-31,62.53,$-11.38,0.0
2018-09-30,76.02,$9.09,8.36
2018-06-30,64.83,$-3.36,0.0
2018-03-31,59.45,$2.60,22.87
2017-12-31,53.61,$-2.31,0.0
2017-09-30,52.72,$-1.74,0.0
2017-06-30,54.65,$10.41,5.25
2017-03-31,51.51,$1.94,26.5
2016-12-31,51.66,$7.00,7.38
2016-09-30,37.13,$4.97,7.48
2016-06-30,36.29,$0.53,67.95
2015-12-31,34.48,$-5.89,0.0
2015-09-30,35.45,$-19.00,0.0
2015-06-30,42.33,$-21.62,0.0
2015-03-31,45.88,$-22.19,0.0
2014-12-31,45.25,$-19.31,0.0
2016-03-31,38.86,$-18.97,0.0
2014-09-30,45.63,$-14.35,0.0
2014-06-30,52.05,$-15.27,0.0
2014-03-31,52.52,$-15.61,0.0
2013-12-31,40.15,$-6.67,0.0
2013-09-30,36.34,$-8.93,0.0
2013-06-30,36.04,$-5.30,0.0
2013-03-31,39.24,$-5.68,0.0
2012-12-31,32.49,$-5.58,0.0
2012-09-30,31.62,$-4.70,0.0
2012-06-30,28.49,$-7.26,0.0
2012-03-31,29.59,$-5.75,0.0
2011-12-31,31.83,$-4.66,0.0
2011-09-30,22.44,$-8.75,0.0
2011-06-30,26.65,$-6.53,0.0
2011-03-31,27.54,$-4.40,0.0
2010-12-31,24.92,$-4.33,0.0
2010-09-30,20.55,$1.29,15.98
2010-06-30,18.53,$-0.47,0.0
2010-03-31,19.7,$-2.37,0.0
2009-12-31,19.57,$-1.98,0.0
