Petroleo Brasileiro S.A.- Petrobras Price to Free Cash Flow Ratio Historical Data,Petroleo Brasileiro S.A.- Petrobras Price to Free Cash Flow Ratio Historical Data,Petroleo Brasileiro S.A.- Petrobras Price to Free Cash Flow Ratio Historical Data,Petroleo Brasileiro S.A.- Petrobras Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.3,,3.08
2024-06-30,14.15,$4.64,3.05
2024-03-31,14.17,$4.93,2.87
2023-12-31,14.88,$5.33,2.79
2023-09-30,13.72,$5.65,2.43
2023-06-30,12.31,$5.98,2.06
2023-03-31,8.83,$6.91,1.28
2022-12-31,9.02,$6.90,1.31
2022-09-30,9.83,$6.77,1.45
2022-06-30,8.49,$8.37,1.02
2022-03-31,9.49,$7.04,1.35
2021-12-31,7.04,$7.43,0.95
2021-09-30,5.98,$6.94,0.86
2021-03-31,4.47,$4.35,1.03
2020-09-30,3.76,$4.46,0.84
2020-03-31,2.87,$3.03,0.95
2019-12-31,8.32,$2.61,3.18
2019-09-30,7.51,$3.50,2.14
2019-06-30,8.02,$2.82,2.84
2019-03-31,8.17,$2.70,3.03
2018-12-31,6.68,$3.10,2.15
2018-09-30,6.16,$0.12,51.23
2018-06-30,5.11,$1.79,2.86
2018-03-31,7.19,$2.27,3.17
2017-12-31,5.23,$2.07,2.53
2017-09-30,5.11,$4.25,1.2
2017-06-30,4.06,$3.15,1.29
2017-03-31,4.93,$2.81,1.75
2016-12-31,5.14,$2.18,2.36
2016-09-30,4.75,$1.69,2.81
2016-06-30,3.64,$1.01,3.6
2016-03-31,2.97,$0.86,3.45
2015-12-31,2.19,$0.70,3.13
2015-09-30,2.21,$0.55,4.0
2015-06-30,4.6,$0.70,6.56
2015-03-31,3.06,$0.01,254.75
2014-12-31,3.71,$-0.66,0.0
2014-09-30,7.22,$-2.33,0.0
2014-06-30,7.44,$-3.22,0.0
2014-03-31,6.45,$-3.34,0.0
2013-12-31,6.76,$-2.89,0.0
2013-09-30,7.6,$-2.40,0.0
2013-06-30,6.58,$-2.11,0.0
2013-03-31,8.02,$-2.23,0.0
2012-12-31,9.42,$-1.98,0.0
2012-09-30,11.1,$-6.07,0.0
2012-06-30,9.08,$-1.50,0.0
2012-03-31,12.72,$-0.97,0.0
2011-12-31,11.74,$-1.18,0.0
2011-09-30,10.52,$4.41,2.39
2011-06-30,15.73,$-1.84,0.0
2011-03-31,18.56,$-2.16,0.0
2010-12-31,17.3,$-2.90,0.0
2010-09-30,16.39,$-3.76,0.0
2010-06-30,15.41,$-2.28,0.0
2010-03-31,19.73,$-2.79,0.0
2009-12-31,21.14,$-1.91,0.0
