Snap Price to Free Cash Flow Ratio Historical Data,Snap Price to Free Cash Flow Ratio Historical Data,Snap Price to Free Cash Flow Ratio Historical Data,Snap Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.46,,1089.58
2024-06-30,16.61,$0.01,0.0
2024-03-31,11.48,$-0.02,0.0
2023-12-31,16.93,$0.02,783.8
2023-09-30,8.91,$0.00,0.0
2023-06-30,11.84,$0.05,236.8
2023-03-31,11.21,$0.03,327.78
2022-12-31,8.95,$0.03,260.17
2022-09-30,9.82,$0.09,109.72
2022-06-30,13.13,$0.11,118.18
2022-03-31,35.99,$0.12,288.61
2021-12-31,47.03,$0.14,328.88
2021-09-30,73.87,$-0.01,0.0
2021-06-30,68.14,$-0.09,0.0
2021-03-31,52.29,$-0.07,0.0
2020-12-31,50.07,$-0.15,0.0
2020-09-30,26.11,$-0.16,0.0
2020-06-30,23.49,$-0.18,0.0
2020-03-31,11.89,$-0.19,0.0
2019-12-31,16.33,$-0.25,0.0
2019-09-30,15.8,$-0.31,0.0
2019-06-30,14.3,$-0.37,0.0
2019-03-31,11.02,$-0.47,0.0
2018-12-31,5.51,$-0.62,0.0
2018-09-30,8.48,$-0.70,0.0
2018-06-30,13.09,$-0.76,0.0
2018-03-31,15.87,$-0.73,0.0
2017-12-31,14.61,$-0.70,0.0
