Zillow Price to Free Cash Flow Ratio Historical Data,Zillow Price to Free Cash Flow Ratio Historical Data,Zillow Price to Free Cash Flow Ratio Historical Data,Zillow Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,62.63,,96.85
2024-06-30,46.39,$0.65,71.73
2024-03-31,48.78,$0.85,57.54
2023-12-31,57.86,$0.94,61.71
2023-09-30,46.16,$1.25,37.06
2023-06-30,50.26,$2.01,25.0
2023-03-31,44.47,$6.21,7.16
2022-12-31,32.21,$18.58,1.73
2022-09-30,28.61,$16.94,1.69
2022-06-30,31.75,$5.36,5.92
2022-03-31,49.29,$-0.70,0.0
2021-12-31,63.85,$-12.45,0.0
2021-09-30,88.14,$-12.79,0.0
2021-06-30,122.22,$-2.26,0.0
2021-03-31,129.64,$0.95,136.48
2020-12-31,129.8,$1.34,96.58
2020-09-30,101.59,$2.99,34.01
2020-06-30,57.61,$1.61,35.88
2020-03-31,36.02,$-1.20,0.0
2019-12-31,45.94,$-3.26,0.0
2019-09-30,29.82,$-4.06,0.0
2019-06-30,46.39,$-2.49,0.0
2019-03-31,34.74,$-1.14,0.0
2018-12-31,31.58,$-0.31,0.0
2018-09-30,44.25,$0.68,65.5
2018-06-30,59.06,$0.96,61.84
2018-03-31,53.8,$0.79,68.54
2017-12-31,40.92,$1.03,39.85
2017-09-30,40.21,$0.74,54.1
2017-06-30,49.01,$0.50,97.53
2017-03-31,33.67,$-0.03,0.0
2016-12-31,36.47,$-0.30,0.0
2016-09-30,34.65,$-0.57,0.0
2016-06-30,36.28,$-0.69,0.0
