"Banco Santander, S.A Price to Free Cash Flow Ratio Historical Data","Banco Santander, S.A Price to Free Cash Flow Ratio Historical Data","Banco Santander, S.A Price to Free Cash Flow Ratio Historical Data","Banco Santander, S.A Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,4.99,,0.0
2024-06-30,4.63,$-3.21,0.0
2024-03-31,4.74,$-2.07,0.0
2023-12-31,4.06,$0.04,94.36
2023-09-30,3.6,$-1.23,0.0
2023-06-30,3.55,$0.25,14.12
2023-03-31,3.47,$0.97,3.58
2022-12-31,2.77,$1.51,1.84
2022-09-30,2.13,$3.49,0.61
2022-06-30,2.58,$2.01,1.28
2022-03-31,3.05,$0.59,5.22
2021-12-31,2.97,$3.37,0.88
2021-09-30,3.22,$4.21,0.77
2021-06-30,3.48,$5.31,0.66
2021-03-31,3.05,$6.19,0.49
2020-09-30,1.58,$3.33,0.47
2020-03-31,2.0,$1.34,1.5
2019-06-30,3.8,$-0.45,0.0
2019-03-31,3.79,$0.37,10.22
2018-12-31,3.61,$-0.25,0.0
2018-09-30,4.0,$2.21,1.81
2018-06-30,4.21,$2.42,1.74
2018-03-31,5.11,$1.28,3.98
2017-12-31,5.05,$2.49,2.03
2017-09-30,5.32,$1.29,4.12
2017-06-30,5.08,$1.29,3.94
2017-03-31,4.57,$1.54,2.96
2016-12-31,3.86,$1.29,2.99
2016-09-30,3.25,$0.85,3.84
2016-06-30,2.84,$1.07,2.66
2016-03-31,3.13,$1.05,2.99
2015-12-31,3.45,$0.55,6.26
2015-09-30,3.71,$-0.59,0.0
2015-06-30,4.88,$-1.65,0.0
2015-03-31,5.08,$-1.97,0.0
2014-12-31,5.56,$-0.71,0.0
2014-09-30,6.2,$-3.91,0.0
2014-06-30,6.67,$-3.07,0.0
2014-03-31,6.0,$-3.10,0.0
2013-12-31,5.55,$-3.49,0.0
2013-09-30,4.89,$3.15,1.55
2013-06-30,3.76,$3.15,1.19
2013-03-31,3.85,$3.15,1.22
2012-12-31,4.51,$3.15,1.43
2012-09-30,4.01,$3.61,1.11
2012-06-30,3.41,$3.61,0.95
2012-03-31,3.82,$3.61,1.06
2011-12-31,3.66,$3.61,1.02
2011-09-30,3.84,$7.03,0.55
2011-06-30,5.39,$7.03,0.77
2011-03-31,5.35,$7.03,0.76
2010-12-31,4.79,$7.03,0.68
2010-09-30,5.63,$-2.86,0.0
2010-06-30,4.61,$-2.18,0.0
2010-03-31,5.68,$-2.86,0.0
2009-12-31,6.95,$-2.86,0.0
