Pinnacle Financial Partners Price to Free Cash Flow Ratio Historical Data,Pinnacle Financial Partners Price to Free Cash Flow Ratio Historical Data,Pinnacle Financial Partners Price to Free Cash Flow Ratio Historical Data,Pinnacle Financial Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,106.4,,18.77
2024-06-30,79.84,$5.67,14.08
2024-03-31,85.43,$3.05,27.99
2023-12-31,86.54,$1.85,46.82
2023-09-30,66.29,$4.33,15.32
2023-06-30,55.85,$4.71,11.85
2022-12-31,71.83,$7.12,10.09
2022-09-30,79.15,$10.05,7.87
2022-06-30,70.38,$10.69,6.58
2022-03-31,89.37,$10.83,8.25
2021-12-31,92.48,$12.42,7.45
2023-03-31,54.13,$9.84,5.5
2021-09-30,90.94,$7.10,12.82
2021-06-30,85.18,$6.57,12.96
2021-03-31,85.36,$5.97,14.29
2020-12-31,61.85,$5.13,12.06
2020-09-30,34.06,$5.01,6.8
2020-06-30,40.03,$5.26,7.62
2020-03-31,35.64,$3.75,9.51
2019-12-31,60.61,$5.07,11.95
2019-09-30,53.6,$5.59,9.58
2019-06-30,54.14,$5.31,10.2
2019-03-31,51.38,$6.86,7.49
2018-12-31,43.17,$5.81,7.43
2018-09-30,56.16,$4.54,12.38
2018-06-30,57.15,$3.06,18.65
2018-03-31,59.68,$2.76,21.65
2017-12-31,61.49,$1.75,35.2
2017-09-30,61.97,$2.72,22.79
2017-06-30,58.0,$3.06,18.96
2017-03-31,61.23,$2.55,24.02
2016-12-31,63.73,$3.14,20.28
2016-09-30,49.59,$2.76,17.95
2016-06-30,44.67,$2.61,17.15
2016-03-31,44.73,$2.37,18.9
2015-12-31,46.69,$1.96,23.8
2015-09-30,44.82,$1.64,27.41
2015-06-30,49.21,$2.83,17.38
2015-03-31,40.14,$2.65,15.13
2014-12-31,35.58,$3.30,10.78
2014-09-30,32.42,$3.64,8.92
2014-03-31,33.52,$3.21,10.43
2013-12-31,29.01,$3.51,8.26
2013-09-30,26.52,$5.27,5.03
2013-06-30,22.87,$2.23,10.27
2013-03-31,20.78,$2.23,9.31
2012-12-31,16.76,$1.95,8.59
2014-06-30,35.38,$0.62,57.11
2012-09-30,17.19,$3.15,5.45
2012-06-30,17.36,$2.95,5.89
2012-03-31,16.32,$3.43,4.76
2011-12-31,14.37,$3.26,4.41
2011-09-30,9.73,$3.63,2.68
2011-06-30,13.84,$3.99,3.47
2011-03-31,14.71,$3.65,4.04
2010-12-31,12.08,$3.66,3.3
2010-09-30,8.18,$3.14,2.6
2010-06-30,11.43,$2.93,3.9
2010-03-31,13.44,$2.96,4.54
2009-12-31,12.65,$2.50,5.05
