E.l.f Beauty Price to Free Cash Flow Ratio Historical Data,E.l.f Beauty Price to Free Cash Flow Ratio Historical Data,E.l.f Beauty Price to Free Cash Flow Ratio Historical Data,E.l.f Beauty Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,107.94,,155.94
2024-06-30,210.72,$0.69,304.42
2024-03-31,196.03,$1.08,181.27
2023-12-31,144.34,$1.09,132.54
2023-09-30,109.83,$1.91,57.57
2023-06-30,114.23,$1.64,69.47
2023-03-31,82.35,$1.81,45.5
2022-12-31,55.3,$1.42,38.94
2022-09-30,37.62,$1.10,34.29
2022-06-30,30.68,$0.74,41.41
2022-03-31,25.83,$0.27,94.3
2021-12-31,33.21,$0.54,61.42
2021-09-30,29.05,$0.38,77.3
2021-06-30,27.14,$0.33,82.37
2021-03-31,26.83,$0.44,60.65
2020-12-31,25.19,$0.05,556.07
2020-09-30,18.37,$0.47,38.73
2020-06-30,19.07,$0.70,27.32
2020-03-31,9.84,$0.69,14.33
2019-12-31,16.13,$0.70,22.94
2019-09-30,17.51,$-0.21,0.0
2019-06-30,14.1,$0.12,118.19
2019-03-31,10.6,$0.10,105.68
2018-12-31,8.66,$0.05,180.79
2018-09-30,12.73,$0.80,16.01
2018-06-30,15.24,$0.63,24.15
2018-03-31,19.37,$0.05,404.38
2017-12-31,22.31,$-0.46,0.0
2017-09-30,22.55,$-0.10,0.0
2017-06-30,27.21,$-0.86,0.0
