Brady Price to Free Cash Flow Ratio Historical Data,Brady Price to Free Cash Flow Ratio Historical Data,Brady Price to Free Cash Flow Ratio Historical Data,Brady Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,76.24,,21.11
2024-07-31,71.38,$3.61,19.76
2024-04-30,58.6,$3.58,16.38
2024-01-31,59.58,$3.12,19.1
2023-10-31,50.71,$4.02,12.62
2023-07-31,50.61,$3.66,13.84
2023-04-30,49.83,$2.03,24.54
2022-07-31,46.05,$1.46,31.58
2022-04-30,42.86,$3.76,11.4
2022-01-31,49.48,$3.56,13.91
2021-10-31,49.43,$4.65,10.64
2021-07-31,51.67,$4.93,10.49
2022-10-31,44.26,$3.03,14.62
2021-04-30,51.35,$3.28,15.66
2021-01-31,43.03,$3.01,14.31
2020-10-31,35.21,$2.58,13.65
2020-07-31,42.69,$2.14,19.99
2020-04-30,40.23,$2.34,17.16
2020-01-31,50.91,$2.57,19.83
2019-10-31,51.61,$2.76,18.67
2019-07-31,47.19,$2.43,19.45
2019-04-30,44.32,$2.38,18.61
2019-01-31,40.43,$2.27,17.84
2018-10-31,36.26,$1.96,18.5
2018-07-31,34.25,$2.31,14.84
2018-04-30,32.43,$2.35,13.77
2018-01-31,33.88,$2.24,15.14
2017-10-31,33.52,$2.49,13.48
2017-07-31,29.09,$2.48,11.73
2017-04-30,33.92,$2.13,15.89
2017-01-31,31.49,$2.74,11.5
2016-10-31,28.51,$2.98,9.56
2016-07-31,27.52,$3.13,8.79
2016-04-30,22.53,$2.98,7.56
2015-10-31,19.04,$1.71,11.15
2015-07-31,19.49,$1.30,15.02
2015-04-30,21.89,$0.65,33.85
2015-01-31,21.36,$0.62,34.27
2014-10-31,19.3,$0.79,24.47
2014-07-31,20.99,$0.96,21.76
2014-04-30,20.56,$1.76,11.65
2014-01-31,21.65,$2.00,10.81
2013-10-31,22.96,$2.14,10.72
2013-07-31,25.99,$2.10,12.38
2013-04-30,26.31,$1.88,14.0
2013-01-31,26.94,$1.77,15.24
2012-10-31,23.62,$1.94,12.16
2012-07-31,20.24,$2.10,9.62
2012-04-30,23.51,$1.62,14.47
2016-01-31,18.95,$2.01,9.42
2012-01-31,24.38,$2.45,9.95
2011-10-31,23.01,$0.31,74.84
2011-07-31,22.02,$0.91,24.09
2011-04-30,27.9,$0.82,34.23
2011-01-31,24.11,$0.45,54.03
2010-07-31,20.24,$2.62,7.71
2010-04-30,24.83,$3.53,7.04
2010-01-31,20.31,$2.94,6.91
2009-10-31,19.35,$3.40,5.7
2009-07-31,20.88,$2.12,9.87
2010-10-31,22.52,$1.41,15.94
