Columbia Sportswear Price to Free Cash Flow Ratio Historical Data,Columbia Sportswear Price to Free Cash Flow Ratio Historical Data,Columbia Sportswear Price to Free Cash Flow Ratio Historical Data,Columbia Sportswear Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,83.57,,240.21
2024-06-30,78.78,$0.35,226.46
2023-12-31,78.67,$9.47,8.31
2023-09-30,73.01,$-3.18,0.0
2023-06-30,75.8,$-1.54,0.0
2023-03-31,88.21,$-4.00,0.0
2022-12-31,85.31,$-6.56,0.0
2024-03-31,80.59,$-4.42,0.0
2022-09-30,65.32,$-0.60,0.0
2022-06-30,69.2,$0.98,70.26
2022-03-31,87.17,$2.49,35.0
2021-12-31,93.51,$4.81,19.43
2021-09-30,91.74,$6.51,14.09
2021-06-30,93.92,$6.15,15.26
2021-03-31,100.61,$5.25,19.15
2020-12-31,83.02,$3.70,22.41
2020-09-30,82.64,$3.45,23.95
2020-06-30,76.56,$2.19,35.01
2020-03-31,66.29,$1.93,34.36
2019-12-31,94.85,$2.36,40.12
2019-09-30,91.48,$0.78,117.63
2019-06-30,94.33,$1.49,63.2
2019-03-31,97.87,$2.75,35.63
2018-12-31,78.81,$3.18,24.77
2018-09-30,87.0,$2.82,30.86
2018-06-30,85.3,$3.17,26.94
2018-03-31,71.09,$3.91,18.16
2017-12-31,66.67,$4.09,16.31
2017-09-30,56.94,$4.13,13.78
2017-06-30,53.52,$3.95,13.54
2017-03-31,53.98,$3.05,17.71
2016-12-31,53.39,$3.19,16.74
2016-09-30,51.81,$2.28,22.76
2016-06-30,52.38,$1.56,33.58
2016-03-31,54.52,$1.40,38.85
2015-12-31,44.12,$0.36,123.76
2015-09-30,53.01,$0.28,186.51
2015-06-30,54.39,$1.17,46.31
2015-03-31,54.64,$1.60,34.19
2014-12-31,39.86,$1.78,22.43
2014-09-30,31.9,$1.18,27.03
2014-06-30,36.71,$1.98,18.56
2014-03-31,36.59,$2.58,14.21
2013-12-31,34.75,$2.95,11.77
2013-09-30,26.48,$3.27,8.1
2013-06-30,27.44,$3.10,8.85
2013-03-31,25.26,$2.13,11.84
2012-12-31,23.19,$1.54,15.04
2012-09-30,23.33,$0.36,65.07
2012-06-30,23.11,$-0.10,0.0
2012-03-31,20.36,$-0.46,0.0
2011-12-31,19.88,$-0.21,0.0
2011-09-30,19.74,$-0.85,0.0
2011-06-30,26.85,$-0.26,0.0
2011-03-31,25.09,$0.12,214.04
2010-12-31,25.38,$-0.08,0.0
2010-09-30,23.84,$1.13,21.01
2010-06-30,18.97,$1.61,11.78
2010-03-31,21.28,$2.08,10.22
2009-12-31,15.75,$2.67,5.9
