Madison Square Garden Price to Free Cash Flow Ratio Historical Data,Madison Square Garden Price to Free Cash Flow Ratio Historical Data,Madison Square Garden Price to Free Cash Flow Ratio Historical Data,Madison Square Garden Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,220.53,,0.0
2024-06-30,188.13,$-0.96,0.0
2024-03-31,184.52,$-2.00,0.0
2023-12-31,181.83,$-0.92,0.0
2023-06-30,188.05,$6.25,30.07
2023-03-31,194.85,$14.26,13.66
2022-12-31,183.33,$8.54,21.48
2022-09-30,130.49,$8.93,14.62
2022-06-30,144.19,$10.66,13.52
2023-09-30,176.3,$0.32,547.69
2022-03-31,171.27,$3.36,50.9
2021-12-31,165.89,$0.39,426.56
2021-09-30,177.56,$0.10,1728.9
2021-06-30,164.78,$-1.48,0.0
2021-03-31,171.36,$-7.61,0.0
2020-12-31,175.79,$-11.30,0.0
2020-09-30,143.69,$-12.04,0.0
2020-06-30,140.26,$-14.99,0.0
2020-03-31,201.87,$-9.95,0.0
2019-12-31,280.91,$-3.54,0.0
2019-09-30,251.63,$-2.84,0.0
2019-06-30,267.31,$-1.15,0.0
2019-03-31,279.9,$-0.00,0.0
2018-12-31,255.62,$2.03,126.05
2018-09-30,301.09,$-0.39,0.0
2018-06-30,296.19,$1.08,274.66
2018-03-31,234.71,$4.58,51.2
2017-12-31,201.33,$0.71,282.65
2017-09-30,204.44,$6.57,31.1
2017-06-30,188.01,$7.52,25.01
2017-03-31,190.7,$4.47,42.63
2016-12-31,163.77,$3.66,44.78
2016-09-30,161.76,$0.94,172.57
