Chewy Price to Free Cash Flow Ratio Historical Data,Chewy Price to Free Cash Flow Ratio Historical Data,Chewy Price to Free Cash Flow Ratio Historical Data,Chewy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,29.32,,49.34
2024-07-31,24.18,$0.59,40.69
2024-04-30,14.99,$0.62,24.22
2024-01-31,17.82,$0.79,22.45
2023-10-31,19.33,$0.74,26.09
2023-07-31,33.9,$0.79,42.88
2023-04-30,31.01,$0.56,55.41
2023-01-31,45.06,$0.28,161.33
2022-10-31,38.73,$-0.12,0.0
2022-07-31,38.81,$-0.27,0.0
2022-04-30,29.06,$-0.13,0.0
2022-01-31,47.61,$-0.00,0.0
2021-10-31,75.8,$0.41,186.33
2021-07-31,83.7,$0.48,172.61
2021-04-30,79.72,$0.20,401.81
2021-01-31,101.82,$0.00,0.0
2020-10-31,61.6,$0.05,1229.54
2020-07-31,52.49,$-0.06,0.0
2020-04-30,43.24,$-0.06,0.0
