"PT Telekomunikasi Indonesia, Tbk Price to Free Cash Flow Ratio Historical Data","PT Telekomunikasi Indonesia, Tbk Price to Free Cash Flow Ratio Historical Data","PT Telekomunikasi Indonesia, Tbk Price to Free Cash Flow Ratio Historical Data","PT Telekomunikasi Indonesia, Tbk Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,19.39,,7.63
2024-03-31,21.02,$2.54,8.27
2023-03-31,24.72,$2.87,8.6
2022-03-31,27.95,$3.18,8.79
2021-03-31,19.75,$2.82,7.01
2020-03-31,15.33,$2.69,5.7
2019-03-31,20.97,$2.49,8.44
2018-03-31,19.27,$2.14,9.01
2017-03-31,22.14,$2.21,10.03
2016-03-31,17.5,$2.02,8.66
2015-12-31,15.28,$1.65,9.29
2015-09-30,12.27,$5.03,2.44
2015-06-30,14.93,$4.30,3.47
2015-03-31,14.53,$4.04,3.6
2014-12-31,15.1,$5.44,2.77
2014-06-30,13.9,$1.79,7.77
2014-03-31,12.57,$1.56,8.03
2013-12-31,11.45,$1.79,6.4
2013-09-30,11.59,$2.31,5.02
2013-06-30,13.65,$2.31,5.91
2013-03-31,13.87,$2.23,6.22
2012-12-31,11.37,$2.31,4.92
2012-09-30,11.98,$1.89,6.35
2012-06-30,10.71,$1.89,5.68
2012-03-31,8.88,$2.43,3.65
2011-12-31,8.99,$3.82,2.35
2011-09-30,9.67,$1.93,5.0
2011-03-31,9.43,$1.71,5.51
2010-12-31,10.01,$1.93,5.18
2010-09-30,11.56,$1.01,11.49
2010-06-30,9.27,$1.01,9.22
2010-03-31,9.69,$1.11,8.71
2009-12-31,10.82,$1.01,10.76
2009-09-30,9.65,0,0.0
