Federal Signal Price to Free Cash Flow Ratio Historical Data,Federal Signal Price to Free Cash Flow Ratio Historical Data,Federal Signal Price to Free Cash Flow Ratio Historical Data,Federal Signal Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,94.15,,31.42
2024-06-30,83.56,$3.00,27.88
2024-03-31,84.65,$3.02,28.01
2023-12-31,76.42,$2.67,28.64
2023-09-30,59.39,$1.66,35.84
2023-06-30,63.56,$1.07,59.66
2023-03-31,53.72,$-0.72,0.0
2022-12-31,45.97,$-0.38,0.0
2022-09-30,36.85,$-0.70,0.0
2022-06-30,35.08,$-0.67,0.0
2021-12-31,42.47,$1.04,40.83
2021-09-30,37.78,$2.85,13.25
2021-06-30,39.26,$2.21,17.75
2021-03-31,37.29,$2.19,17.0
2020-12-31,32.22,$2.71,11.91
2022-03-31,33.16,$0.48,69.76
2020-09-30,28.35,$1.40,20.31
2020-06-30,28.74,$1.63,17.68
2020-03-31,26.29,$1.25,21.09
2019-12-31,30.99,$1.10,28.2
2019-09-30,31.39,$0.89,35.26
2019-06-30,25.58,$1.05,24.39
2019-03-31,24.77,$0.95,26.16
2018-12-31,18.91,$1.29,14.7
2018-09-30,25.36,$1.32,19.23
2018-06-30,21.98,$0.87,25.33
2018-03-31,20.71,$0.99,21.02
2017-12-31,18.84,$1.07,17.56
2017-09-30,19.89,$0.85,23.35
2017-06-30,16.16,$0.99,16.37
2017-03-31,12.8,$0.63,20.31
2016-12-31,14.4,$0.30,47.39
2016-09-30,12.17,$0.65,18.82
2016-06-30,11.76,$1.06,11.12
2016-03-31,12.04,$1.25,9.6
2015-12-31,14.33,$1.38,10.37
2015-09-30,12.34,$1.39,8.88
2015-06-30,13.36,$1.06,12.62
2015-03-31,14.1,$1.12,12.61
2014-12-31,13.73,$0.93,14.78
2014-09-30,11.75,$1.17,10.06
2014-06-30,12.98,$1.26,10.33
2014-03-31,13.17,$1.11,11.84
2013-12-31,12.95,$1.00,12.93
2013-09-30,11.37,$0.68,16.78
2013-06-30,7.73,$0.24,32.51
2013-03-31,7.19,$-0.09,0.0
2012-12-31,6.73,$0.19,35.14
2012-09-30,5.59,$-0.15,0.0
2012-06-30,5.16,$-0.01,0.0
2012-03-31,4.91,$0.23,21.77
2011-12-31,3.67,$-0.13,0.0
2011-09-30,3.91,$0.16,24.63
2011-06-30,5.8,$0.40,14.65
2011-03-31,5.75,$0.25,22.91
2010-12-31,6.06,$0.36,16.79
2010-09-30,4.72,$0.52,9.05
2010-06-30,5.23,$0.58,9.04
2010-03-31,7.74,$0.74,10.42
2009-12-31,5.14,$1.07,4.8
