Old Republic Price to Free Cash Flow Ratio Historical Data,Old Republic Price to Free Cash Flow Ratio Historical Data,Old Republic Price to Free Cash Flow Ratio Historical Data,Old Republic Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,36.42,,9.79
2024-06-30,30.67,$3.72,8.24
2024-03-31,30.49,$3.13,9.73
2023-12-31,28.91,$3.08,9.38
2023-09-30,26.28,$3.02,8.71
2023-06-30,24.33,$3.39,7.18
2023-03-31,23.9,$3.48,6.87
2022-12-31,22.9,$3.86,5.93
2022-09-30,19.66,$4.12,4.78
2022-06-30,19.88,$3.94,5.04
2022-03-31,22.78,$4.24,5.37
2021-12-31,21.46,$4.32,4.97
2021-09-30,20.01,$4.43,4.52
2021-06-30,20.07,$4.20,4.78
2021-03-31,17.45,$4.23,4.12
2020-12-31,14.78,$3.96,3.73
2020-09-30,10.93,$3.61,3.03
2020-06-30,11.94,$3.54,3.37
2020-03-31,11.02,$3.37,3.27
2019-12-31,16.01,$3.11,5.15
2019-09-30,16.72,$2.75,6.08
2019-06-30,15.07,$2.61,5.76
2019-03-31,13.96,$2.51,5.56
2018-12-31,13.59,$2.53,5.38
2018-09-30,14.67,$1.97,7.46
2018-06-30,12.93,$1.81,7.13
2018-03-31,13.8,$1.71,8.09
2017-12-31,12.97,$1.73,7.51
2017-09-30,11.84,$2.54,4.65
2017-06-30,11.63,$2.47,4.72
2017-03-31,12.08,$2.21,5.45
2016-12-31,11.1,$2.15,5.16
2016-09-30,10.19,$1.77,5.77
2016-06-30,11.05,$1.85,5.97
2016-03-31,10.37,$2.10,4.92
2015-12-31,10.46,$2.32,4.5
2015-09-30,8.69,$2.55,3.4
2015-06-30,8.58,$-0.17,0.0
2015-03-31,8.11,$-0.43,0.0
2014-12-31,7.84,$-0.61,0.0
2014-09-30,7.56,$-0.48,0.0
2014-06-30,8.65,$1.97,4.39
2014-03-31,8.49,$2.31,3.68
2013-12-31,8.83,$2.34,3.78
2013-09-30,7.79,$2.38,3.27
2013-06-30,6.43,$2.52,2.55
2013-03-31,6.27,$2.38,2.64
2012-12-31,5.17,$2.08,2.49
2012-09-30,4.44,$1.39,3.2
2012-06-30,3.88,$0.74,5.25
2012-03-31,4.85,$0.02,202.14
2011-12-31,4.13,$-0.37,0.0
2011-09-30,3.89,$-0.94,0.0
2011-06-30,5.03,$-0.97,0.0
2011-03-31,5.35,$-1.29,0.0
2010-12-31,5.67,$-1.17,0.0
2010-09-30,5.68,$-0.33,0.0
2010-06-30,4.91,$0.27,18.1
2010-03-31,5.07,$1.06,4.78
2009-12-31,3.95,$2.26,1.75
