Annaly Capital Management Inc Price to Free Cash Flow Ratio Historical Data,Annaly Capital Management Inc Price to Free Cash Flow Ratio Historical Data,Annaly Capital Management Inc Price to Free Cash Flow Ratio Historical Data,Annaly Capital Management Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,20.15,,2.27
2024-06-30,18.46,$8.89,2.08
2024-03-31,18.44,$10.26,1.8
2023-12-31,17.56,$4.79,3.67
2023-09-30,16.51,$5.05,3.27
2023-06-30,16.97,$6.16,2.76
2023-03-31,15.7,$5.42,2.9
2022-12-31,16.74,$13.05,1.28
2022-09-30,13.09,$14.52,0.9
2022-06-30,17.17,$11.29,1.52
2022-03-31,19.72,$11.27,1.75
2021-12-31,21.24,$8.77,2.42
2021-09-30,22.25,$9.16,2.43
2021-06-30,22.88,$8.86,2.58
2021-03-31,21.62,$10.61,2.04
2020-12-31,20.72,$1.92,10.82
2020-09-30,17.01,$2.33,7.29
2020-06-30,15.2,$-0.97,0.0
2020-03-31,11.37,$-6.24,0.0
2019-12-31,20.23,$-3.27,0.0
2019-09-30,18.41,$-7.96,0.0
2019-06-30,18.57,$-3.85,0.0
2019-03-31,19.77,$1.38,14.33
2018-12-31,18.88,$8.67,2.18
2018-09-30,19.08,$13.46,1.42
2018-06-30,18.66,$13.57,1.37
2018-03-31,18.38,$11.59,1.59
2017-12-31,20.36,$6.12,3.33
2017-09-30,20.36,$5.93,3.43
2017-06-30,19.65,$-1.11,0.0
2017-03-31,17.68,$6.22,2.84
2016-12-31,15.45,$6.52,2.37
2016-09-30,15.79,$3.30,4.79
2016-06-30,16.19,$12.03,1.35
2016-03-31,14.6,$5.32,2.74
2015-12-31,12.97,$-15.38,0.0
2015-09-30,13.22,$-8.95,0.0
2015-06-30,11.95,$-18.29,0.0
2015-03-31,13.1,$-13.57,0.0
2014-12-31,13.24,$25.87,0.51
2014-09-30,12.74,$-3.51,0.0
2014-06-30,13.26,$3.97,3.34
2014-03-31,12.4,$-18.03,0.0
2013-12-31,10.97,$-51.80,0.0
2013-09-30,12.37,$-27.70,0.0
2013-06-30,13.03,$-15.72,0.0
2013-03-31,15.97,$-5.00,0.0
2012-12-31,13.72,$30.38,0.45
2012-09-30,15.95,$23.23,0.69
2012-06-30,15.43,$14.71,1.05
2012-03-31,14.09,$5.77,2.44
2011-12-31,13.73,$11.07,1.24
2011-09-30,13.82,$42.64,0.32
2011-06-30,14.47,$36.76,0.39
2011-03-31,13.51,$81.90,0.16
2010-12-31,13.4,$69.49,0.19
2010-09-30,12.7,$60.17,0.21
2010-06-30,11.92,$92.88,0.13
2010-03-31,11.49,$82.44,0.14
2009-12-31,11.18,$78.23,0.14
