Pembina Pipeline Price to Free Cash Flow Ratio Historical Data,Pembina Pipeline Price to Free Cash Flow Ratio Historical Data,Pembina Pipeline Price to Free Cash Flow Ratio Historical Data,Pembina Pipeline Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,43.35,,15.54
2024-06-30,36.46,$2.79,13.07
2024-03-31,34.27,$2.64,12.98
2023-12-31,32.92,$2.75,11.97
2023-09-30,28.33,$2.90,9.78
2023-06-30,29.16,$3.10,9.4
2023-03-31,29.57,$3.04,9.73
2022-12-31,30.54,$3.27,9.34
2022-09-30,26.93,$2.94,9.15
2022-06-30,30.92,$3.10,9.99
2022-03-31,32.46,$3.10,10.48
2021-12-31,25.79,$2.89,8.93
2021-09-30,26.53,$2.95,8.98
2021-06-30,26.17,$2.32,11.28
2021-03-31,23.38,$2.23,10.49
2020-12-31,18.84,$1.66,11.35
2020-09-30,16.57,$1.28,12.96
2020-06-30,19.13,$1.08,17.66
2020-03-31,13.94,$0.85,16.39
2019-12-31,27.05,$1.31,20.63
2019-09-30,26.71,$1.37,19.53
2019-06-30,26.48,$1.47,17.99
2019-03-31,25.85,$1.66,15.56
2018-12-31,20.61,$1.57,13.14
2018-09-30,23.3,$1.56,14.9
2018-06-30,23.42,$1.13,20.71
2018-03-31,20.87,$0.42,50.18
2017-12-31,23.87,$-0.58,0.0
2017-09-30,22.87,$-1.38,0.0
2017-06-30,21.32,$-1.72,0.0
2017-03-31,20.17,$-1.75,0.0
2016-12-31,19.7,$-1.23,0.0
2016-09-30,18.93,$-0.90,0.0
2016-06-30,18.63,$-0.97,0.0
2016-03-31,16.36,$-1.26,0.0
2015-12-31,13.01,$-1.87,0.0
2015-09-30,14.15,$-2.54,0.0
2015-06-30,18.79,$-2.29,0.0
2015-03-31,18.21,$-2.20,0.0
2014-12-31,20.72,$-1.45,0.0
2014-09-30,23.74,$-1.12,0.0
2014-06-30,24.01,$-1.27,0.0
2014-03-31,21.06,$-1.13,0.0
2013-12-31,19.27,$-0.76,0.0
2013-09-30,17.91,$-0.46,0.0
2013-06-30,16.34,$-0.32,0.0
2013-03-31,16.66,$-0.17,0.0
2012-09-30,14.33,$-0.48,0.0
2012-06-30,12.87,$-0.45,0.0
2012-03-31,13.95,$-0.13,0.0
2011-12-31,14.25,0,0.0
2011-09-30,11.77,$0.64,18.4
2011-06-30,12.46,0,0.0
