RBC Bearings Price to Free Cash Flow Ratio Historical Data,RBC Bearings Price to Free Cash Flow Ratio Historical Data,RBC Bearings Price to Free Cash Flow Ratio Historical Data,RBC Bearings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,290.2,,30.87
2024-06-30,269.78,$9.40,28.69
2024-03-31,270.35,$8.27,32.68
2023-12-31,284.89,$7.91,36.04
2023-09-30,234.13,$7.35,31.85
2023-06-30,217.47,$6.27,34.7
2023-03-31,232.73,$6.14,37.88
2022-12-31,209.35,$5.72,36.6
2022-09-30,207.81,$4.36,47.67
2022-06-30,184.95,$5.31,34.83
2022-03-31,193.88,$5.51,35.18
2021-12-31,201.97,$5.43,37.19
2021-09-30,212.2,$6.24,33.99
2021-06-30,199.42,$5.77,34.54
2021-03-31,196.77,$5.59,35.2
2020-12-31,179.04,$5.44,32.9
2020-09-30,121.21,$5.69,21.31
2020-06-30,134.04,$5.38,24.92
2020-03-31,112.79,$4.73,23.86
2019-12-31,158.34,$4.06,39.01
2019-09-30,165.91,$2.88,57.63
2019-06-30,166.81,$2.76,60.48
2019-03-31,127.17,$2.72,46.77
2018-12-31,131.1,$3.26,40.16
2018-09-30,150.36,$3.71,40.5
2018-06-30,128.81,$3.88,33.19
2018-03-31,124.2,$4.20,29.58
2017-12-31,126.4,$3.80,33.3
2017-09-30,125.15,$4.27,29.31
2017-06-30,101.76,$4.20,24.26
2017-03-31,97.09,$3.38,28.74
2016-12-31,92.81,$3.18,29.21
2016-09-30,76.48,$2.58,29.64
2016-06-30,72.5,$1.08,67.34
2016-03-31,73.26,$0.67,109.7
2015-12-31,64.59,$0.59,109.96
2015-09-30,59.73,$0.29,203.51
2015-03-31,76.54,$2.18,35.17
2014-12-31,64.53,$2.09,30.85
2014-09-30,56.7,$2.24,25.31
2014-06-30,64.05,$2.10,30.56
2014-03-31,61.63,$0.89,69.17
2015-06-30,71.76,$1.29,55.57
2013-12-31,68.45,$0.83,82.51
2013-09-30,63.75,$0.57,112.61
2013-06-30,50.26,$0.66,76.3
2013-03-31,48.92,$1.06,46.02
2012-12-31,48.44,$1.10,44.07
2012-09-30,46.54,$1.57,29.58
2012-06-30,45.76,$1.67,27.4
2012-03-31,44.63,$1.21,36.76
2011-12-31,40.34,$1.21,33.26
2011-09-30,32.88,$1.27,25.91
2011-06-30,36.53,$1.61,22.71
2011-03-31,36.99,$1.79,20.66
2010-12-31,37.81,$1.67,22.6
2010-09-30,32.87,$1.82,18.08
2010-06-30,28.05,$2.07,13.57
2010-03-31,30.83,$1.52,20.29
2009-12-31,23.54,$2.05,11.48
