Asbury Automotive Price to Free Cash Flow Ratio Historical Data,Asbury Automotive Price to Free Cash Flow Ratio Historical Data,Asbury Automotive Price to Free Cash Flow Ratio Historical Data,Asbury Automotive Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,235.28,,0.0
2024-06-30,227.87,$-5.86,0.0
2024-03-31,235.78,$5.23,45.11
2023-12-31,224.97,$8.90,25.26
2023-09-30,230.07,$8.28,27.79
2023-06-30,240.42,$14.39,16.71
2023-03-31,210.0,$16.51,12.72
2022-12-31,179.25,$26.25,6.83
2022-09-30,151.1,$34.54,4.37
2022-06-30,169.34,$46.24,3.66
2022-03-31,160.2,$50.31,3.18
2021-12-31,172.73,$44.08,3.92
2021-09-30,196.74,$36.79,5.35
2021-06-30,171.37,$22.04,7.77
2021-03-31,196.5,$35.98,5.46
2020-12-31,145.74,$31.50,4.63
2020-09-30,97.45,$29.91,3.26
2020-06-30,77.33,$35.43,2.18
2020-03-31,55.23,$18.51,2.98
2019-12-31,111.79,$15.19,7.36
2019-09-30,102.33,$10.62,9.64
2019-06-30,84.34,$5.21,16.19
2019-03-31,69.36,$-0.26,0.0
2018-12-31,66.66,$-2.37,0.0
2018-09-30,68.75,$2.77,24.78
2018-06-30,68.55,$5.40,12.69
2018-03-31,67.5,$9.76,6.92
2017-12-31,64.0,$7.07,9.05
2017-09-30,61.1,$10.02,6.1
2017-06-30,56.55,$3.92,14.44
2016-12-31,61.7,$1.46,42.13
2016-09-30,55.67,$1.27,43.84
2016-06-30,52.74,$3.14,16.77
2016-03-31,59.84,$5.13,11.66
2015-12-31,67.44,$3.28,20.58
2017-03-31,60.1,$7.86,7.64
2015-09-30,81.15,$0.40,205.03
2015-06-30,90.62,$0.40,224.03
2015-03-31,83.1,$1.37,60.66
2014-12-31,75.92,$0.19,408.17
2014-09-30,64.42,$0.61,105.02
2014-06-30,68.74,$-0.81,0.0
2014-03-31,55.31,$-1.32,0.0
2013-12-31,53.74,$-1.51,0.0
2013-09-30,53.2,$-1.14,0.0
2013-06-30,40.1,$-0.86,0.0
2013-03-31,36.69,$-0.43,0.0
2012-12-31,32.03,$-3.16,0.0
2012-09-30,27.95,$-8.57,0.0
2012-06-30,23.69,$-7.37,0.0
2012-03-31,27.0,$-6.31,0.0
2011-12-31,21.56,$-4.65,0.0
2011-09-30,16.49,$4.29,3.84
2011-06-30,18.53,$2.25,8.23
2011-03-31,18.49,$1.07,17.29
2010-12-31,18.48,$-0.07,0.0
2010-09-30,14.07,$0.16,89.96
2010-06-30,10.54,$1.47,7.18
2010-03-31,13.3,$1.49,8.96
2009-12-31,11.53,$3.88,2.97
