NOV Price to Free Cash Flow Ratio Historical Data,NOV Price to Free Cash Flow Ratio Historical Data,NOV Price to Free Cash Flow Ratio Historical Data,NOV Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.62,,13.14
2024-06-30,18.92,$1.19,15.91
2024-03-31,19.35,$-0.07,0.0
2023-12-31,20.04,$-0.35,0.0
2023-09-30,20.6,$-0.89,0.0
2023-06-30,15.77,$-1.22,0.0
2023-03-31,18.14,$-1.88,0.0
2022-12-31,20.42,$-1.30,0.0
2022-09-30,15.78,$-1.36,0.0
2022-06-30,16.44,$-0.61,0.0
2021-12-31,13.11,$0.23,56.24
2021-09-30,12.64,$0.66,19.29
2021-06-30,14.77,$0.70,21.14
2021-03-31,13.22,$1.43,9.25
2020-12-31,13.23,$2.37,5.59
2020-09-30,8.73,$1.69,5.18
2019-12-31,24.01,$1.26,19.07
2019-09-30,20.27,$0.17,120.6
2019-06-30,21.21,$-0.14,0.0
2019-03-31,25.36,$0.50,50.86
2018-12-31,24.42,$1.18,20.72
2020-06-30,11.81,$0.76,15.52
2018-09-30,40.86,$1.01,40.44
2018-06-30,41.12,$1.20,34.15
2018-03-31,34.84,$1.07,32.6
2017-12-31,34.04,$1.70,20.05
2017-09-30,33.72,$1.26,26.8
2017-06-30,31.04,$0.74,41.69
2017-03-31,37.72,$0.55,68.65
2016-12-31,35.18,$1.80,19.57
2016-09-30,34.47,$2.89,11.93
2016-06-30,31.53,$3.72,8.47
2016-03-31,29.1,$3.82,7.63
2015-12-31,30.88,$2.34,13.17
2015-09-30,34.29,$5.87,5.84
2015-06-30,43.46,$4.67,9.32
2015-03-31,44.58,$5.24,8.5
2014-12-31,57.91,$6.90,8.39
2022-03-31,19.02,$2.89,6.59
2014-09-30,66.79,$6.38,10.47
2014-06-30,71.87,$9.03,7.96
2014-03-31,60.96,$7.33,8.31
2013-12-31,62.06,$7.07,8.78
2013-09-30,60.75,$4.75,12.8
2020-03-31,9.47,$2.73,3.47
2013-06-30,53.41,$2.82,18.92
2013-03-31,54.64,$-3.00,0.0
2012-12-31,52.69,$-2.71,0.0
2012-09-30,61.64,$-2.95,0.0
2012-06-30,49.51,$-1.09,0.0
2011-12-31,52.06,$3.91,13.33
2011-09-30,39.16,$6.36,6.16
2011-06-30,59.69,$4.75,12.57
2011-03-31,60.41,$3.80,15.9
2010-12-31,51.18,$4.38,11.69
2012-03-31,60.95,$1.00,60.67
2010-09-30,33.78,$1.56,21.69
2010-06-30,25.06,$2.16,11.61
2010-03-31,30.66,$2.87,10.69
2009-12-31,33.24,$4.40,7.55
