Scotts Miracle-Gro Price to Free Cash Flow Ratio Historical Data,Scotts Miracle-Gro Price to Free Cash Flow Ratio Historical Data,Scotts Miracle-Gro Price to Free Cash Flow Ratio Historical Data,Scotts Miracle-Gro Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,89.46,,5.1
2024-06-30,64.47,$17.55,3.67
2024-03-31,73.17,$17.20,4.25
2023-12-31,61.84,$9.46,6.54
2023-09-30,49.55,$7.87,6.3
2023-06-30,59.34,$9.28,6.4
2023-03-31,65.35,$7.25,9.01
2022-12-31,45.17,$-14.42,0.0
2022-09-30,39.28,$1.73,22.64
2022-06-30,71.94,$-0.69,0.0
2022-03-31,111.21,$-13.46,0.0
2021-09-30,131.16,$2.88,45.53
2021-06-30,171.27,$18.39,9.31
2021-03-31,218.0,$-4.49,0.0
2020-12-31,176.72,$12.04,14.68
2020-09-30,135.21,$14.82,9.12
2021-12-31,144.87,$-14.63,0.0
2020-06-30,114.94,$5.21,22.07
2020-03-31,87.16,$2.17,40.13
2019-12-31,89.93,$1.67,53.92
2019-09-30,85.74,$3.31,25.88
2019-06-30,82.49,$3.78,21.84
2019-03-31,65.4,$3.74,17.51
2018-12-31,50.81,$4.43,11.46
2018-09-30,64.61,$4.89,13.2
2018-06-30,67.74,$3.30,20.53
2018-03-31,69.42,$4.52,15.36
2017-12-31,86.11,$4.74,18.18
2017-09-30,77.92,$4.97,15.67
2017-06-30,71.21,$4.95,14.39
2017-03-31,73.91,$4.98,14.83
2016-12-31,75.22,$5.04,14.92
2016-09-30,65.19,$3.03,21.49
2016-06-30,54.4,$2.25,24.19
2016-03-31,56.24,$3.40,16.56
2015-12-31,49.51,$1.93,25.65
2015-09-30,46.35,$3.07,15.12
2015-06-30,44.78,$2.86,15.65
2015-03-31,50.44,$2.30,21.89
2014-12-31,46.48,$-6.69,0.0
2014-09-30,40.72,$0.84,48.23
2014-06-30,40.38,$8.75,4.62
2014-03-31,43.2,$-7.46,0.0
2013-09-30,38.21,$4.56,8.38
2013-06-30,33.28,$6.62,5.02
2013-03-31,29.39,$-7.93,0.0
2012-12-31,29.71,$9.86,3.01
2012-09-30,29.09,$6.17,4.72
2013-12-31,43.53,$-2.37,0.0
2012-06-30,27.3,$2.99,9.14
2012-03-31,35.72,$-0.07,0.0
2011-12-31,30.6,$0.16,189.84
2011-09-30,29.03,$0.75,38.74
2011-06-30,33.18,$0.54,61.15
2011-03-31,37.25,$3.20,11.64
2010-12-31,32.53,$3.14,10.36
2010-09-30,32.98,$3.51,9.41
2010-06-30,28.17,$5.23,5.38
2010-03-31,29.31,$3.34,8.79
2009-12-31,24.78,$0.32,78.1
