Macerich Price to Free Cash Flow Ratio Historical Data,Macerich Price to Free Cash Flow Ratio Historical Data,Macerich Price to Free Cash Flow Ratio Historical Data,Macerich Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.72,,38.19
2024-06-30,15.27,$0.49,31.14
2024-03-31,16.85,$0.50,33.57
2023-12-31,14.95,$0.61,24.43
2023-09-30,10.39,$0.71,14.54
2023-06-30,10.58,$0.99,10.67
2023-03-31,9.77,$1.15,8.47
2022-12-31,10.25,$1.25,8.2
2022-09-30,7.12,$1.63,4.37
2022-06-30,7.71,$2.08,3.71
2022-03-31,13.67,$2.12,6.45
2021-12-31,14.96,$2.60,5.75
2021-09-30,14.37,$2.52,5.71
2021-06-30,15.54,$1.99,7.8
2021-03-31,9.86,$1.16,8.46
2020-12-31,8.88,$0.50,17.69
2020-09-30,5.53,$0.29,18.76
2020-06-30,7.17,$0.11,64.75
2020-03-31,4.43,$0.93,4.76
2019-12-31,20.51,$1.22,16.77
2019-09-30,23.45,$1.25,18.8
2019-06-30,24.24,$1.48,16.37
2019-03-31,30.8,$-1.29,0.0
2018-12-31,30.23,$-1.06,0.0
2018-09-30,38.06,$-0.82,0.0
2018-06-30,38.62,$-1.09,0.0
2017-12-31,43.53,$3.10,14.05
2017-09-30,36.01,$2.62,13.73
2017-06-30,37.54,$2.67,14.07
2017-03-31,41.17,$3.42,12.05
2016-12-31,44.81,$6.10,7.35
2016-09-30,50.63,$10.22,4.96
2016-06-30,53.03,$10.08,5.26
2016-03-31,48.78,$9.33,5.23
2015-12-31,49.23,$5.30,9.29
2015-09-30,43.51,$2.94,14.81
2015-06-30,41.91,$3.05,13.73
2015-03-31,47.0,$2.81,16.71
2014-12-31,46.14,$3.16,14.58
2014-09-30,34.98,$2.13,16.41
2014-06-30,36.23,$2.20,16.48
2014-03-31,33.52,$4.36,7.69
2013-12-31,31.35,$0.80,39.27
2013-09-30,29.72,$-7.34,0.0
2013-06-30,31.78,$-7.41,0.0
2013-03-31,33.28,$-8.67,0.0
2012-12-31,29.85,$-5.52,0.0
2012-09-30,29.01,$1.51,19.17
2012-06-30,29.65,$0.99,30.09
2011-12-31,24.93,$0.06,453.25
2011-09-30,20.78,$-0.20,0.0
2011-06-30,25.82,$0.15,174.44
2011-03-31,23.66,$0.13,185.75
2010-12-31,22.41,$0.12,181.28
2012-03-31,28.73,$0.15,196.67
2010-09-30,20.1,$0.63,31.69
2010-06-30,17.25,$3.95,4.37
2010-03-31,17.5,$4.17,4.19
2009-12-31,16.1,$4.26,3.78
2009-09-30,13.33,$3.24,4.11
