Vertiv Holdings Price to Free Cash Flow Ratio Historical Data,Vertiv Holdings Price to Free Cash Flow Ratio Historical Data,Vertiv Holdings Price to Free Cash Flow Ratio Historical Data,Vertiv Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,114.28,,45.97
2024-06-30,86.55,$2.49,34.81
2024-03-31,81.62,$2.22,36.82
2023-12-31,47.99,$2.02,23.81
2023-09-30,37.15,$1.60,23.22
2023-06-30,24.73,$0.99,25.08
2023-03-31,14.29,$-0.23,0.0
2022-12-31,13.64,$-0.69,0.0
2022-09-30,9.7,$-1.04,0.0
2022-06-30,8.2,$-0.87,0.0
2022-03-31,13.97,$-0.14,0.0
2021-12-31,24.92,$0.38,65.93
2021-09-30,24.03,$0.92,26.15
2021-06-30,27.23,$1.20,22.74
2021-03-31,19.95,$1.50,13.33
2020-12-31,18.62,$0.53,35.04
2020-09-30,17.27,$0.71,24.18
2020-06-30,13.52,$0.44,30.99
2020-03-31,8.62,$-0.53,0.0
2019-12-31,11.0,$-0.07,0.0
2019-09-30,10.17,$-3.46,0.0
2019-06-30,10.11,$-3.55,0.0
