Franklin Electric Price to Free Cash Flow Ratio Historical Data,Franklin Electric Price to Free Cash Flow Ratio Historical Data,Franklin Electric Price to Free Cash Flow Ratio Historical Data,Franklin Electric Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,105.55,,18.4
2024-06-30,96.09,$5.74,16.75
2024-03-31,106.28,$6.12,17.37
2023-12-31,95.91,$5.88,16.31
2023-09-30,88.32,$5.34,16.55
2023-06-30,101.61,$3.52,28.87
2023-03-31,92.7,$2.31,40.06
2022-12-31,78.37,$1.27,61.62
2022-09-30,80.1,$0.09,941.26
2022-06-30,71.66,$-0.10,0.0
2022-03-31,81.02,$0.67,121.37
2021-12-31,92.05,$2.14,42.99
2021-09-30,77.58,$3.09,25.11
2021-06-30,78.16,$3.72,20.99
2021-03-31,76.37,$0.67,113.86
2020-12-31,66.8,$2.43,27.48
2020-09-30,56.64,$2.66,21.3
2020-06-30,50.43,$0.98,51.38
2019-12-31,54.72,$3.35,16.34
2019-09-30,45.51,$2.92,15.6
2019-06-30,45.08,$2.28,19.76
2019-03-31,48.34,$2.80,17.29
2018-12-31,40.45,$2.27,17.81
2018-09-30,44.45,$1.30,34.26
2018-06-30,42.32,$0.80,52.73
2018-03-31,38.13,$0.01,2743.34
2017-12-31,42.85,$0.68,63.11
2017-09-30,41.77,$-0.28,0.0
2020-03-31,45.1,$-0.11,0.0
2017-06-30,38.45,$0.85,45.51
2017-03-31,39.88,$1.38,28.88
2016-12-31,35.94,$1.76,20.4
2016-09-30,37.51,$1.57,23.85
2016-06-30,30.37,$1.85,16.4
2016-03-31,29.47,$1.84,16.0
2015-12-31,24.67,$1.55,15.95
2015-09-30,24.79,$1.66,14.91
2015-06-30,29.33,$1.11,26.34
2015-03-31,34.51,$0.61,56.88
2014-12-31,33.87,$0.28,121.52
2014-09-30,31.27,$0.14,229.45
2014-06-30,36.22,$0.64,56.31
2014-03-31,38.1,$0.76,50.33
2013-12-31,39.91,$0.64,62.22
2013-09-30,35.16,$0.62,56.91
2013-06-30,29.96,$0.43,70.11
2013-03-31,29.82,$0.38,78.57
2012-12-31,27.49,$0.70,39.54
2012-09-30,26.75,$0.99,26.9
2012-06-30,22.55,$1.08,20.88
2012-03-31,21.58,$-0.77,0.0
2011-12-31,19.11,$0.39,49.19
2011-09-30,15.87,$0.43,36.71
2011-06-30,20.47,$0.24,86.85
2010-12-31,16.87,$1.76,9.59
2010-09-30,14.32,$4.15,3.45
2010-06-30,12.4,$2.55,4.86
2010-03-31,12.85,$2.88,4.47
2009-12-31,12.38,$3.96,3.13
2011-03-31,20.08,$0.99,20.34
