Sprouts Farmers Market Price to Free Cash Flow Ratio Historical Data,Sprouts Farmers Market Price to Free Cash Flow Ratio Historical Data,Sprouts Farmers Market Price to Free Cash Flow Ratio Historical Data,Sprouts Farmers Market Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,116.65,,48.11
2024-06-30,83.66,$2.42,34.51
2024-03-31,64.48,$2.70,23.85
2023-12-31,48.11,$2.32,20.75
2023-09-30,42.8,$2.55,16.78
2023-06-30,36.73,$2.74,13.41
2023-03-31,35.03,$2.41,14.55
2022-12-31,32.37,$2.27,14.28
2022-09-30,27.75,$2.38,11.67
2022-06-30,25.32,$2.51,10.08
2022-03-31,31.98,$2.64,12.13
2021-12-31,29.68,$2.26,13.13
2021-09-30,23.17,$2.47,9.39
2021-06-30,24.85,$1.54,16.18
2021-03-31,26.62,$2.46,10.82
2020-12-31,20.1,$1.65,12.18
2020-09-30,20.93,$1.34,15.63
2020-06-30,25.59,$2.12,12.09
2019-12-31,19.35,$1.44,13.47
2019-09-30,19.34,$0.29,67.81
2019-06-30,18.89,$2.22,8.51
2019-03-31,21.54,$1.73,12.42
2018-12-31,23.51,$1.13,20.72
2020-03-31,18.59,$2.80,6.65
2018-09-30,27.41,$0.75,36.47
2018-06-30,22.07,$0.88,25.2
2018-03-31,23.47,$0.85,27.72
2017-12-31,24.35,$0.80,30.26
2017-09-30,18.77,$0.87,21.6
2017-06-30,22.67,$0.52,43.51
2017-03-31,23.12,$0.48,47.96
2016-12-31,18.92,$0.49,38.25
2016-09-30,20.65,$0.59,35.05
2016-06-30,22.9,$0.87,26.19
2016-03-31,29.04,$0.95,30.45
2015-12-31,26.59,$0.75,35.34
2015-09-30,21.1,$0.52,40.75
2015-06-30,26.98,$0.13,208.18
2015-03-31,35.23,$0.19,180.95
2014-12-31,33.98,$0.35,96.32
2014-09-30,29.07,$0.45,64.51
2014-06-30,32.72,$1.05,31.13
