TechnipFMC Price to Free Cash Flow Ratio Historical Data,TechnipFMC Price to Free Cash Flow Ratio Historical Data,TechnipFMC Price to Free Cash Flow Ratio Historical Data,TechnipFMC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,26.53,,13.28
2024-06-30,26.1,$2.00,13.07
2024-03-31,25.02,$1.80,13.93
2023-12-31,20.02,$1.22,16.39
2023-09-30,20.17,$0.95,21.2
2023-06-30,16.44,$0.78,21.05
2023-03-31,13.5,$0.32,42.84
2022-12-31,12.06,$0.50,24.15
2022-09-30,8.37,$0.30,27.83
2022-06-30,6.66,$0.10,65.01
2022-03-31,7.67,$0.29,26.89
2021-12-31,5.86,$1.53,3.83
2021-09-30,7.45,$1.80,4.13
2021-06-30,8.95,$1.82,4.92
2021-03-31,7.64,$1.54,4.97
2020-12-31,9.3,$0.99,9.35
2020-09-30,6.24,$0.93,6.74
2020-06-30,6.77,$0.70,9.72
2020-03-31,6.67,$1.02,6.52
2019-12-31,20.78,$0.99,21.0
2019-09-30,23.24,$-0.04,0.0
2019-06-30,24.84,$-0.00,0.0
2019-03-31,22.4,$-0.75,0.0
2018-12-31,18.54,$-1.17,0.0
2018-09-30,29.43,$-1.62,0.0
2018-06-30,29.76,$-1.80,0.0
2018-03-31,27.51,$-0.83,0.0
2017-12-31,29.11,$-0.07,0.0
2017-09-30,25.84,$-0.12,0.0
2017-06-30,25.17,$-1.56,0.0
2017-03-31,30.07,$0.10,287.79
2016-12-31,32.88,$0.97,33.91
2016-09-30,27.46,$1.84,14.91
2016-06-30,24.68,$4.37,5.65
2016-03-31,25.32,$2.46,10.3
2015-12-31,26.84,$1.75,15.34
2015-09-30,28.69,$2.47,11.6
2015-06-30,38.39,$2.15,17.9
2015-03-31,34.25,$2.61,13.12
2014-12-31,43.34,$2.06,21.04
2014-09-30,50.26,$2.07,24.28
2014-06-30,56.51,$1.77,31.96
2014-03-31,48.39,$2.31,20.9
2013-12-31,48.31,$2.01,24.0
2013-09-30,51.28,$0.89,57.89
2013-06-30,51.52,$0.63,81.91
2013-03-31,50.33,$-1.13,0.0
2012-12-31,39.63,$-0.82,0.0
2012-09-30,42.84,$-1.27,0.0
2012-06-30,36.3,$-1.29,0.0
2011-12-31,48.33,$-0.44,0.0
2011-09-30,34.79,$0.44,78.35
2011-06-30,41.45,$0.42,98.4
2011-03-31,43.71,$1.09,40.1
2010-12-31,41.14,$0.96,42.7
2012-03-31,46.66,$-0.09,0.0
2010-09-30,31.6,$0.86,36.85
2010-06-30,24.36,$0.93,26.15
2010-03-31,29.9,$1.21,24.79
2009-12-31,26.76,$2.00,13.36
