Bank Of Montreal Price to Free Cash Flow Ratio Historical Data,Bank Of Montreal Price to Free Cash Flow Ratio Historical Data,Bank Of Montreal Price to Free Cash Flow Ratio Historical Data,Bank Of Montreal Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,93.58,,3.45
2024-07-31,84.33,$27.12,3.11
2024-04-30,87.67,$36.52,2.4
2024-01-31,91.33,$6.48,14.09
2023-10-31,72.42,$9.08,7.97
2023-07-31,87.82,$26.00,3.38
2023-04-30,84.22,$13.02,6.47
2023-01-31,92.89,$54.65,1.7
2022-10-31,84.09,$4.88,17.24
2022-07-31,89.98,$-3.75,0.0
2022-04-30,94.73,$-13.88,0.0
2022-01-31,100.14,$1.02,97.75
2021-10-31,95.12,$53.41,1.78
2021-07-31,85.98,$19.58,4.39
2021-04-30,81.35,$58.87,1.38
2021-01-31,63.5,$69.41,0.91
2020-10-31,50.26,$58.43,0.86
2020-07-31,45.64,$101.72,0.45
2020-04-30,41.84,$85.38,0.49
2020-01-31,61.74,$39.20,1.57
2019-10-31,59.31,$33.87,1.75
2019-07-31,59.34,$17.51,3.39
2019-04-30,61.99,$14.33,4.33
2019-01-31,56.92,$18.63,3.05
2018-10-31,57.52,$21.19,2.71
2018-07-31,60.43,$11.37,5.32
2018-04-30,57.34,$3.43,16.72
2018-01-31,61.57,$3.81,16.14
2017-10-31,56.79,$3.03,18.77
2017-07-31,55.73,$-3.70,0.0
2017-04-30,51.55,$-2.11,0.0
2017-01-31,54.53,$-4.38,0.0
2016-10-31,45.45,$-3.35,0.0
2016-07-31,45.37,$-8.07,0.0
2016-04-30,45.63,$-3.67,0.0
2016-01-31,37.1,$-0.15,0.0
2015-10-31,39.82,$2.63,15.12
2015-07-31,37.89,$0.76,50.08
2015-04-30,43.79,$-4.09,0.0
2015-01-31,38.17,$-5.02,0.0
2014-10-31,47.71,$-4.63,0.0
2014-07-31,48.54,$7.58,6.4
2014-04-30,44.45,$9.99,4.45
2014-01-31,38.99,$13.90,2.8
2013-10-31,44.01,$16.79,2.62
2013-07-31,38.83,$1.10,35.36
2013-04-30,38.75,$2.37,16.34
2013-01-31,38.61,$-5.13,0.0
2012-10-31,35.7,$14.72,2.43
2012-07-31,34.14,$38.85,0.88
2012-04-30,35.0,$39.02,0.9
2012-01-31,33.86,$44.06,0.77
2011-10-31,34.06,$-0.11,0.0
2011-07-31,35.75,$-4.82,0.0
2011-04-30,36.51,$1.32,27.63
2011-01-31,31.75,$-10.75,0.0
2010-10-31,32.21,$-11.97,0.0
2010-07-31,32.8,$-0.72,0.0
2010-04-30,32.93,$-8.83,0.0
2010-01-31,25.59,$0.55,46.61
2009-10-31,23.71,$19.53,1.21
