Equitable Holdings Price to Free Cash Flow Ratio Historical Data,Equitable Holdings Price to Free Cash Flow Ratio Historical Data,Equitable Holdings Price to Free Cash Flow Ratio Historical Data,Equitable Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,45.51,,19.06
2024-06-30,40.6,$2.39,17.0
2024-03-31,37.77,$0.64,58.92
2023-12-31,32.88,$-0.92,0.0
2023-09-30,27.83,$0.29,95.46
2023-06-30,26.42,$-0.42,0.0
2023-03-31,24.49,$-1.21,0.0
2022-12-31,27.5,$-1.10,0.0
2022-09-30,25.09,$-0.76,0.0
2022-06-30,24.65,$-0.70,0.0
2022-03-31,29.03,$-2.21,0.0
2021-12-31,30.63,$-0.74,0.0
2021-09-30,27.54,$-1.36,0.0
2021-06-30,28.13,$-0.60,0.0
2021-03-31,29.97,$0.80,37.38
2020-12-31,23.38,$-0.37,0.0
2020-09-30,16.55,$0.03,568.75
2020-06-30,17.37,$-0.96,0.0
2020-03-31,12.89,$-1.64,0.0
2019-12-31,21.94,$-0.63,0.0
2019-09-30,19.49,$-0.46,0.0
2019-06-30,18.25,$-0.36,0.0
2019-03-31,17.46,$-0.35,0.0
