Dell Price to Free Cash Flow Ratio Historical Data,Dell Price to Free Cash Flow Ratio Historical Data,Dell Price to Free Cash Flow Ratio Historical Data,Dell Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,129.18,,28.07
2024-07-31,113.68,$4.60,24.7
2024-04-30,124.64,$7.20,17.31
2024-01-31,82.88,$8.04,10.3
2023-10-31,66.91,$9.53,7.02
2023-07-31,52.92,$7.09,7.46
2023-04-30,43.49,$3.44,12.66
2023-01-31,40.62,$0.75,54.43
2022-10-31,38.4,$1.08,35.72
2022-07-31,45.06,$4.67,9.64
2022-04-30,46.66,$6.20,7.52
2022-01-31,56.0,$9.50,5.9
2021-10-31,53.97,$13.59,3.97
2021-07-31,47.41,$13.72,3.46
2021-04-30,48.25,$5.28,9.14
2021-01-31,35.77,$6.95,5.15
2020-10-31,29.57,$1.53,19.33
2020-07-31,29.36,$1.93,15.24
2020-01-31,23.93,$8.94,2.68
2019-10-31,25.95,$14.04,1.85
2019-07-31,28.33,$10.62,2.67
2019-04-30,33.08,$7.54,4.39
2019-01-31,23.84,$10.54,2.26
2020-04-30,20.95,$2.71,7.74
2018-10-31,44.35,$7.87,5.63
2018-07-31,45.4,$8.93,5.08
2018-04-30,35.22,$7.69,4.58
2018-01-31,35.18,$6.63,5.3
2017-10-31,40.61,$3.91,10.4
2017-07-31,31.54,$3.81,8.27
