Cirrus Logic Price to Free Cash Flow Ratio Historical Data,Cirrus Logic Price to Free Cash Flow Ratio Historical Data,Cirrus Logic Price to Free Cash Flow Ratio Historical Data,Cirrus Logic Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,122.87,,13.41
2024-06-30,127.66,$9.16,13.93
2024-03-31,92.56,$6.86,13.5
2023-12-31,83.19,$4.56,18.24
2023-09-30,73.96,$2.21,33.41
2023-06-30,81.01,$3.23,25.07
2023-03-31,109.38,$5.32,20.56
2022-12-31,74.48,$8.96,8.31
2022-09-30,68.8,$3.50,19.65
2022-06-30,72.54,$3.47,20.91
2022-03-31,84.79,$1.67,50.85
2021-12-31,92.02,$0.19,480.27
2021-09-30,82.35,$4.71,17.47
2021-06-30,85.12,$4.90,17.37
2021-03-31,84.79,$5.51,15.4
2020-12-31,82.2,$3.52,23.33
2020-09-30,67.45,$3.42,19.74
2020-06-30,61.78,$3.73,16.58
2020-03-31,65.63,$4.63,14.16
2019-12-31,82.41,$3.99,20.66
2019-09-30,53.58,$3.83,13.99
2019-06-30,43.7,$3.97,11.0
2019-03-31,42.07,$2.99,14.07
2018-12-31,33.18,$4.19,7.91
2018-09-30,38.6,$4.13,9.34
2018-06-30,38.33,$4.11,9.32
2018-03-31,40.63,$4.00,10.17
2017-12-31,51.86,$4.31,12.02
2017-09-30,53.32,$5.47,9.74
2017-06-30,62.72,$4.62,13.56
2017-03-31,60.69,$4.93,12.32
2016-12-31,56.54,$3.65,15.5
2016-09-30,53.15,$2.24,23.69
2016-06-30,38.79,$1.22,31.71
2016-03-31,36.41,$1.63,22.36
2015-12-31,29.53,$2.66,11.12
2015-09-30,31.5,$1.87,16.87
2015-06-30,34.03,$2.35,14.45
2015-03-31,33.26,$2.01,16.54
2014-12-31,23.57,$1.53,15.41
2014-09-30,20.85,$1.79,11.66
2014-06-30,22.74,$2.86,7.95
2014-03-31,19.87,$3.25,6.11
2013-12-31,20.43,$4.54,4.5
2013-09-30,22.66,$4.33,5.23
2013-06-30,17.36,$2.70,6.43
2013-03-31,22.75,$1.90,11.97
2012-12-31,28.97,$-0.00,0.0
2012-09-30,38.39,$-0.74,0.0
2012-06-30,29.85,$0.40,75.0
2012-03-31,23.8,$0.69,34.28
2011-12-31,15.85,$0.64,24.83
2011-09-30,14.74,$0.93,15.85
2011-06-30,15.9,$0.85,18.78
2011-03-31,21.03,$0.93,22.67
2010-12-31,15.98,$0.78,20.43
2010-09-30,17.84,$0.52,34.38
2010-06-30,15.81,$0.40,39.22
2010-03-31,8.39,$0.33,25.63
2009-12-31,6.82,$0.53,12.85
