Skechers U.S.A Price to Free Cash Flow Ratio Historical Data,Skechers U.S.A Price to Free Cash Flow Ratio Historical Data,Skechers U.S.A Price to Free Cash Flow Ratio Historical Data,Skechers U.S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,62.0,,11.96
2024-06-30,69.12,$5.18,13.34
2024-03-31,61.26,$4.15,14.76
2023-12-31,62.34,$5.81,10.73
2023-09-30,48.95,$5.54,8.83
2023-06-30,52.66,$2.02,26.09
2023-03-31,47.52,$1.70,27.97
2022-12-31,41.95,$-0.77,0.0
2022-09-30,31.72,$-2.70,0.0
2022-06-30,35.58,$-1.77,0.0
2022-03-31,40.76,$-1.42,0.0
2021-12-31,43.4,$-0.62,0.0
2021-09-30,42.12,$1.26,33.45
2021-06-30,49.83,$1.06,47.13
2021-03-31,41.71,$0.87,48.08
2020-12-31,35.94,$0.14,258.56
2020-09-30,30.22,$-0.91,0.0
2020-06-30,31.38,$0.67,46.77
2020-03-31,23.74,$0.57,41.37
2019-12-31,43.19,$1.27,33.97
2019-09-30,37.35,$1.87,19.96
2019-06-30,31.49,$2.25,13.98
2019-03-31,33.61,$1.91,17.57
2018-12-31,22.89,$2.25,10.16
2018-09-30,27.93,$1.81,15.44
2018-06-30,30.01,$1.97,15.26
2017-12-31,37.84,$0.15,255.85
2017-09-30,25.09,$2.23,11.27
2017-06-30,29.5,$1.77,16.66
2017-03-31,27.45,$1.06,25.92
2016-12-31,24.58,$3.04,8.1
2018-03-31,38.89,$0.85,45.82
2016-09-30,22.9,$1.13,20.24
2016-06-30,29.72,$1.21,24.55
2016-03-31,30.45,$0.72,42.25
2015-12-31,30.21,$0.74,40.84
2015-09-30,44.69,$0.84,52.91
2015-06-30,36.6,$0.72,50.87
2015-03-31,23.97,$0.54,44.66
2014-12-31,18.42,$0.70,26.35
2014-09-30,17.77,$0.78,22.71
2014-06-30,15.23,$0.63,24.24
2014-03-31,12.18,$0.53,22.89
2013-12-31,11.04,$0.38,28.94
2013-09-30,10.37,$0.06,172.26
2013-06-30,8.0,$-0.41,0.0
2013-03-31,7.05,$-1.03,0.0
2012-12-31,6.17,$-0.37,0.0
2012-09-30,6.8,$0.37,18.3
2012-06-30,6.79,$0.81,8.39
2012-03-31,4.24,$0.98,4.35
2011-12-31,4.04,$0.41,9.83
2011-09-30,4.68,$-0.72,0.0
2011-06-30,4.83,$-0.91,0.0
2011-03-31,6.85,$-1.31,0.0
2010-12-31,6.67,$-0.88,0.0
2010-09-30,7.83,$-0.30,0.0
2010-06-30,12.17,$0.01,1205.28
2010-03-31,12.11,$1.01,12.04
2009-12-31,9.8,$0.56,17.37
