XPeng Price to Free Cash Flow Ratio Historical Data,XPeng Price to Free Cash Flow Ratio Historical Data,XPeng Price to Free Cash Flow Ratio Historical Data,XPeng Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.22,,0.0
2024-06-30,7.33,$-0.17,0.0
2024-03-31,7.68,$-0.18,0.0
2023-12-31,14.59,$-0.18,0.0
2023-09-30,18.36,$-2.16,0.0
2023-06-30,13.42,$-2.64,0.0
2023-03-31,11.11,$-2.16,0.0
2022-12-31,9.94,$-2.16,0.0
2022-09-30,11.95,$-0.65,0.0
2022-06-30,31.74,$-1.40,0.0
2022-03-31,27.59,$-0.20,0.0
2021-06-30,44.42,$-0.84,0.0
2021-03-31,36.51,$-0.19,0.0
