Haemonetics Price to Free Cash Flow Ratio Historical Data,Haemonetics Price to Free Cash Flow Ratio Historical Data,Haemonetics Price to Free Cash Flow Ratio Historical Data,Haemonetics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,75.94,,42.07
2024-06-30,82.73,$1.81,45.83
2024-03-31,85.35,$2.28,37.41
2023-12-31,85.51,$2.40,35.6
2023-09-30,89.58,$3.78,23.7
2023-06-30,85.14,$3.49,24.42
2023-03-31,82.75,$3.20,25.87
2022-12-31,78.65,$2.66,29.55
2022-09-30,74.03,$2.43,30.46
2022-06-30,65.18,$1.75,37.2
2022-03-31,63.22,$1.51,41.74
2021-12-31,53.04,$0.68,77.84
2021-09-30,70.59,$1.08,65.2
2021-06-30,66.64,$1.05,63.39
2021-03-31,111.01,$1.43,77.39
2020-12-31,118.75,$2.31,51.44
2020-09-30,87.25,$2.35,37.05
2020-06-30,89.56,$2.63,34.07
2020-03-31,99.66,$2.44,40.91
2019-12-31,114.9,$1.88,61.09
2019-09-30,126.14,$1.31,96.66
2019-06-30,120.34,$0.79,152.35
2019-03-31,87.48,$0.81,107.38
2018-12-31,100.05,$1.40,71.38
2018-09-30,114.58,$1.56,73.64
2018-06-30,89.68,$2.21,40.65
2018-03-31,73.16,$2.77,26.39
2017-12-31,58.08,$2.45,23.71
2017-09-30,44.87,$2.44,18.4
2017-06-30,39.49,$2.00,19.73
2017-03-31,40.57,$1.68,24.19
2016-12-31,40.2,$1.77,22.77
2016-09-30,36.21,$1.20,30.12
2016-06-30,28.99,$0.85,34.22
2016-03-31,34.98,$0.39,88.6
2015-12-31,32.24,$0.55,58.38
2015-09-30,32.32,$0.34,95.11
2015-06-30,41.36,$0.26,156.55
2015-03-31,44.92,$0.10,432.34
2014-12-31,37.42,$-0.13,0.0
2014-09-30,34.92,$0.49,71.96
2014-06-30,35.28,$0.80,44.11
2014-03-31,32.59,$1.27,25.72
2013-12-31,42.13,$1.15,36.64
2013-09-30,39.88,$0.78,51.42
2013-06-30,41.35,$0.64,64.61
2013-03-31,41.66,$0.48,87.59
2012-12-31,40.84,$0.51,79.36
2012-09-30,40.1,$0.66,61.12
2012-06-30,37.06,$0.78,47.29
2012-03-31,34.84,$1.22,28.48
2011-12-31,30.61,$1.30,23.53
2011-09-30,29.24,$1.68,17.4
2011-06-30,32.19,$1.85,17.38
2011-03-31,32.77,$1.53,21.44
2010-12-31,31.59,$1.61,19.6
2010-09-30,29.27,$1.32,22.24
2010-06-30,26.76,$1.34,19.97
2010-03-31,28.58,$1.46,19.56
2009-12-31,27.58,$2.15,12.82
