CommVault Systems Price to Free Cash Flow Ratio Historical Data,CommVault Systems Price to Free Cash Flow Ratio Historical Data,CommVault Systems Price to Free Cash Flow Ratio Historical Data,CommVault Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,142.57,,31.27
2024-06-30,121.57,$4.56,26.66
2024-03-31,101.43,$4.43,22.91
2023-12-31,79.85,$4.19,19.06
2023-09-30,67.61,$3.92,17.25
2023-06-30,72.62,$4.11,17.66
2023-03-31,56.74,$3.74,15.17
2022-12-31,62.84,$4.06,15.5
2022-09-30,53.04,$3.94,13.47
2022-06-30,62.9,$3.40,18.52
2022-03-31,66.35,$3.67,18.08
2021-12-31,68.92,$3.23,21.34
2021-09-30,75.31,$2.94,25.62
2021-06-30,78.17,$2.93,26.67
2021-03-31,64.5,$2.48,25.99
2020-12-31,55.37,$1.80,30.83
2020-09-30,40.8,$1.51,27.09
2020-06-30,38.7,$1.49,26.0
2020-03-31,40.48,$1.86,21.74
2019-12-31,44.64,$1.91,23.42
2019-09-30,44.71,$2.56,17.49
2019-06-30,49.62,$2.38,20.88
2019-03-31,64.74,$2.18,29.74
2018-12-31,59.09,$1.92,30.7
2018-09-30,70.0,$1.92,36.48
2018-06-30,65.85,$1.76,37.35
2018-03-31,57.2,$1.70,33.55
2017-12-31,52.5,$1.91,27.52
2017-09-30,60.8,$1.74,34.95
2017-06-30,56.45,$1.98,28.47
2017-03-31,50.8,$2.09,24.26
2016-12-31,51.4,$2.19,23.5
2016-09-30,53.13,$2.00,26.52
2016-06-30,43.19,$1.75,24.62
2016-03-31,43.17,$1.68,25.69
2015-12-31,39.35,$1.62,24.35
2015-09-30,33.96,$1.74,19.49
2015-06-30,42.41,$2.24,18.98
2015-03-31,43.7,$2.50,17.48
2014-12-31,51.69,$2.58,20.01
2014-09-30,50.4,$2.75,18.34
2014-06-30,49.17,$2.54,19.35
2014-03-31,64.95,$2.30,28.23
2013-12-31,74.86,$2.32,32.2
2013-09-30,87.92,$2.28,38.63
2013-06-30,75.89,$2.30,33.05
2013-03-31,82.0,$2.17,37.79
2012-12-31,69.66,$1.95,35.72
2012-09-30,58.66,$1.99,29.53
2012-06-30,49.57,$1.72,28.89
2012-03-31,49.64,$2.00,24.87
2011-12-31,42.72,$1.79,23.89
2011-09-30,37.06,$1.41,26.24
2011-06-30,44.45,$1.35,33.03
2011-03-31,39.88,$1.05,38.04
2010-12-31,28.62,$1.14,25.19
2010-09-30,26.03,$1.18,21.99
2010-06-30,22.5,$1.25,18.0
2010-03-31,21.35,$1.20,17.84
2009-12-31,23.7,$1.60,14.85
