Hyatt Hotels Price to Free Cash Flow Ratio Historical Data,Hyatt Hotels Price to Free Cash Flow Ratio Historical Data,Hyatt Hotels Price to Free Cash Flow Ratio Historical Data,Hyatt Hotels Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,152.61,,11.99
2024-06-30,151.77,$12.73,11.92
2024-03-31,159.46,$7.69,20.74
2023-12-31,130.15,$5.50,23.68
2023-09-30,105.73,$4.84,21.83
2023-06-30,114.05,$4.79,23.81
2023-03-31,111.12,$10.41,10.67
2022-12-31,89.91,$9.87,9.11
2022-09-30,80.48,$8.23,9.77
2022-06-30,73.47,$15.33,4.79
2022-03-31,94.88,$11.58,8.19
2021-12-31,95.33,$9.25,10.3
2021-09-30,76.64,$7.12,10.77
2021-06-30,77.18,$-1.34,0.0
2021-03-31,82.2,$-6.72,0.0
2020-12-31,73.81,$-6.40,0.0
2020-09-30,53.05,$-0.37,0.0
2020-06-30,49.99,$5.43,9.2
2020-03-31,47.61,$8.83,5.39
2019-12-31,88.95,$9.10,9.78
2019-09-30,72.87,$5.80,12.57
2019-06-30,75.11,$4.96,15.15
2019-03-31,71.41,$4.36,16.38
2018-12-31,66.35,$8.30,7.99
2018-09-30,77.95,$7.50,10.4
2018-06-30,75.41,$7.04,10.71
2017-12-31,71.62,$7.53,9.51
2017-09-30,60.18,$-0.05,0.0
2017-06-30,54.74,$7.76,7.05
2017-03-31,52.57,$5.56,9.45
2016-12-31,53.82,$7.69,7.0
2018-03-31,74.41,$11.92,6.24
2016-09-30,47.94,$4.16,11.52
2016-06-30,47.86,$4.38,10.92
2016-03-31,48.2,$2.42,19.92
2015-12-31,45.79,$2.48,18.47
2015-09-30,45.87,$9.64,4.76
2015-06-30,55.21,$9.00,6.14
2015-03-31,57.67,$5.90,9.77
2014-12-31,58.64,$6.46,9.07
2014-09-30,58.94,$1.63,36.13
2014-06-30,59.39,$2.83,21.0
2013-12-31,48.17,$5.18,9.29
2013-09-30,41.84,$5.25,7.97
2013-06-30,39.31,$3.01,13.05
2013-03-31,42.1,$2.05,20.53
2012-12-31,37.56,$1.72,21.8
2012-09-30,39.1,$0.67,58.73
2012-06-30,36.19,$0.38,95.06
2012-03-31,41.6,$-1.27,0.0
2011-12-31,36.66,$1.00,36.49
2011-09-30,30.55,$1.25,24.42
2011-06-30,39.75,$1.58,25.09
2014-03-31,52.41,$2.99,17.51
2011-03-31,41.92,$1.33,31.54
2010-12-31,44.57,$2.14,20.83
2010-09-30,36.41,$1.95,18.72
