Plexus Price to Free Cash Flow Ratio Historical Data,Plexus Price to Free Cash Flow Ratio Historical Data,Plexus Price to Free Cash Flow Ratio Historical Data,Plexus Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,139.56,,18.25
2024-06-30,103.18,$7.65,13.5
2024-03-31,94.82,$3.12,30.43
2023-12-31,108.13,$3.61,29.99
2023-09-30,92.98,$2.20,42.32
2023-06-30,98.24,$-0.70,0.0
2023-03-31,97.57,$-1.80,0.0
2022-12-31,102.93,$-2.78,0.0
2022-09-30,87.56,$-4.50,0.0
2022-06-30,78.5,$-4.35,0.0
2022-03-31,81.81,$-1.73,0.0
2021-12-31,95.89,$-1.02,0.0
2021-09-30,89.41,$2.93,30.51
2021-06-30,91.41,$6.95,13.16
2021-03-31,91.84,$7.08,12.96
2020-12-31,78.21,$3.01,26.0
2020-09-30,70.63,$5.36,13.18
2020-06-30,70.56,$4.75,14.86
2020-03-31,54.56,$4.15,13.16
2019-12-31,76.94,$4.64,16.59
2019-09-30,62.51,$0.79,78.64
2019-06-30,58.37,$-1.76,0.0
2019-03-31,60.95,$-1.94,0.0
2018-12-31,51.08,$-3.23,0.0
2018-09-30,58.51,$0.14,432.45
2018-06-30,59.54,$0.74,80.45
2018-03-31,59.73,$0.48,123.18
2017-12-31,60.72,$3.34,18.18
2017-09-30,56.08,$3.88,14.47
2017-06-30,52.57,$2.91,18.08
2017-03-31,57.8,$3.40,17.01
2016-12-31,54.04,$4.79,11.28
2016-09-30,46.78,$2.97,15.76
2016-06-30,43.2,$3.27,13.2
2016-03-31,39.52,$2.72,14.53
2015-12-31,34.92,$4.40,7.94
2015-09-30,38.62,$1.22,31.68
2015-06-30,43.88,$1.53,28.75
2015-03-31,40.77,$1.75,23.24
2014-12-31,41.21,$-1.63,0.0
2014-09-30,36.93,$0.75,49.48
2014-06-30,43.29,$1.97,21.95
2014-03-31,40.07,$2.29,17.5
2013-12-31,43.29,$2.85,15.2
2013-09-30,37.16,$2.88,12.91
2013-06-30,29.89,$1.62,18.47
2013-03-31,24.31,$1.64,14.85
2012-12-31,25.8,$2.03,12.69
2012-09-30,30.29,$2.74,11.04
2012-06-30,28.2,$3.83,7.37
2012-03-31,34.99,$3.11,11.25
2011-12-31,27.38,$3.37,8.13
2011-09-30,22.62,$2.31,9.78
2011-06-30,34.81,$0.60,58.34
2011-03-31,35.06,$-0.54,0.0
2010-12-31,30.94,$-2.05,0.0
2010-09-30,29.35,$-1.77,0.0
2010-06-30,26.74,$-0.63,0.0
2010-03-31,36.03,$0.88,40.88
2009-12-31,28.48,$2.29,12.41
