Arcosa Price to Free Cash Flow Ratio Historical Data,Arcosa Price to Free Cash Flow Ratio Historical Data,Arcosa Price to Free Cash Flow Ratio Historical Data,Arcosa Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,96.23,,130.55
2024-06-30,83.32,$0.74,113.04
2024-03-31,85.71,$2.41,35.53
2023-12-31,82.45,$1.93,42.67
2023-09-30,71.68,$0.49,145.54
2023-06-30,75.49,$1.30,57.89
2023-03-31,62.82,$1.16,54.24
2022-12-31,54.05,$1.41,38.27
2022-09-30,56.82,$4.09,13.88
2022-06-30,46.09,$3.46,13.32
2022-03-31,56.78,$2.68,21.15
2021-12-31,52.22,$2.09,25.03
2021-09-30,49.66,$0.82,60.92
2021-06-30,58.09,$2.56,22.69
2021-03-31,64.32,$3.13,20.54
2020-12-31,54.24,$3.86,14.04
2020-09-30,43.49,$6.15,7.07
2020-06-30,41.57,$5.40,7.7
2020-03-31,39.1,$4.14,9.45
2019-12-31,43.79,$5.83,7.51
2019-09-30,33.57,$5.08,6.6
