Sealed Air Price to Free Cash Flow Ratio Historical Data,Sealed Air Price to Free Cash Flow Ratio Historical Data,Sealed Air Price to Free Cash Flow Ratio Historical Data,Sealed Air Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,36.67,,8.6
2024-06-30,34.58,$4.27,8.11
2024-03-31,36.78,$2.57,14.29
2023-12-31,35.9,$1.95,18.44
2023-09-30,32.11,$1.68,19.11
2023-06-30,38.86,$1.03,37.57
2023-03-31,44.37,$2.60,17.05
2022-12-31,48.01,$2.61,18.36
2022-09-30,42.68,$3.37,12.68
2022-06-30,55.14,$3.85,14.31
2022-03-31,63.76,$3.54,18.03
2021-12-31,64.04,$3.85,16.66
2021-09-30,51.84,$3.25,15.95
2021-06-30,55.88,$3.46,16.16
2021-03-31,43.07,$3.86,11.14
2020-12-31,42.88,$3.64,11.77
2020-09-30,36.21,$3.23,11.19
2020-06-30,30.53,$2.45,12.44
2020-03-31,22.86,$1.98,11.52
2019-12-31,36.64,$2.06,17.83
2019-09-30,38.03,$2.12,17.97
2019-06-30,39.03,$2.21,17.66
2019-03-31,41.88,$2.06,20.28
2018-12-31,31.56,$1.57,20.15
2018-09-30,36.21,$0.31,115.05
2018-06-30,38.13,$0.84,45.22
2018-03-31,38.3,$1.04,36.82
2017-12-31,43.95,$1.29,34.13
2017-09-30,37.96,$2.88,13.17
2017-06-30,39.63,$3.08,12.87
2017-03-31,38.45,$3.24,11.88
2016-12-31,39.86,$3.23,12.36
2016-09-30,40.15,$2.46,16.32
2016-06-30,40.14,$2.42,16.58
2016-03-31,41.78,$2.28,18.31
2015-12-31,38.7,$4.02,9.63
2015-09-30,40.56,$3.93,10.33
2015-06-30,44.34,$4.10,10.81
2015-03-31,39.22,$4.35,9.01
2014-12-31,36.42,$-1.67,0.0
2014-09-30,29.84,$-0.98,0.0
2014-06-30,29.13,$-1.33,0.0
2014-03-31,27.91,$-1.67,0.0
2013-12-31,28.8,$2.50,11.51
2013-09-30,22.91,$2.52,9.08
2013-06-30,20.09,$2.19,9.19
2013-03-31,20.11,$1.80,11.15
2012-12-31,14.52,$1.45,10.03
2012-09-30,12.72,$0.05,266.16
2012-06-30,12.59,$0.28,45.06
2012-03-31,15.62,$0.44,35.53
2011-12-31,13.83,$1.36,10.18
2011-09-30,13.32,$2.10,6.35
2011-06-30,18.85,$1.84,10.26
2011-03-31,21.0,$-0.09,0.0
2010-12-31,19.95,$0.58,34.64
2010-09-30,17.53,$0.51,34.62
2010-06-30,15.28,$0.66,23.01
2009-12-31,16.74,$2.62,6.38
2009-09-30,14.96,$2.09,7.17
