Open Text Price to Free Cash Flow Ratio Historical Data,Open Text Price to Free Cash Flow Ratio Historical Data,Open Text Price to Free Cash Flow Ratio Historical Data,Open Text Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,33.94,,11.44
2024-06-30,29.79,$2.97,10.05
2024-03-31,38.19,$2.77,13.8
2023-12-31,41.06,$2.62,15.65
2023-09-30,34.08,$2.10,16.2
2023-06-30,40.1,$2.42,16.55
2023-03-31,36.99,$2.86,12.91
2022-12-31,28.24,$2.87,9.83
2022-09-30,24.98,$3.03,8.25
2022-06-30,35.38,$3.27,10.83
2022-03-31,39.43,$3.47,11.35
2021-12-31,43.93,$2.51,17.49
2021-09-30,44.89,$2.77,16.23
2021-06-30,46.6,$2.97,15.69
2021-03-31,43.58,$2.95,14.75
2020-12-31,41.34,$3.93,10.53
2020-09-30,38.24,$3.61,10.6
2020-06-30,38.31,$3.24,11.81
2020-03-31,31.36,$3.08,10.19
2019-12-31,39.41,$2.92,13.48
2019-09-30,36.35,$2.90,12.52
2019-06-30,36.53,$3.01,12.14
2019-03-31,33.93,$2.89,11.75
2018-12-31,28.67,$2.80,10.23
2018-09-30,33.45,$2.66,12.57
2018-06-30,30.82,$2.25,13.68
2018-03-31,30.35,$1.90,15.99
2017-12-31,30.99,$1.47,21.05
2017-09-30,27.94,$1.33,21.03
2017-06-30,27.18,$1.41,19.33
2017-03-31,29.19,$1.48,19.75
2016-12-31,26.43,$1.70,15.56
2016-09-30,27.64,$1.77,15.57
2016-06-30,25.12,$1.87,13.45
2016-03-31,21.9,$1.94,11.29
2015-12-31,20.19,$1.77,11.42
2015-09-30,18.77,$1.68,11.17
2015-06-30,16.92,$1.81,9.33
2015-03-31,21.98,$1.86,11.82
2014-12-31,24.14,$1.86,12.97
2014-09-30,22.89,$1.69,13.52
2014-06-30,19.74,$1.55,12.7
2014-03-31,19.58,$1.28,15.24
2013-12-31,18.81,$1.22,15.42
2013-09-30,15.22,$1.31,11.61
2013-06-30,13.9,$1.25,11.12
2013-03-31,11.93,$1.33,8.99
2012-12-31,11.29,$1.25,9.05
2012-09-30,11.14,$1.11,10.08
2012-06-30,10.08,$1.02,9.84
2012-03-31,12.36,$0.88,14.07
2011-12-31,10.34,$0.79,13.1
2011-09-30,10.53,$0.77,13.59
2011-06-30,12.94,$0.80,16.25
2011-03-31,12.59,$0.88,14.27
2010-12-31,9.31,$0.91,10.29
2010-09-30,9.51,$0.89,10.68
2010-06-30,7.59,$0.69,10.92
2010-03-31,9.59,$1.20,8.02
2009-12-31,8.22,$0.87,9.4
