Integer Holdings Price to Free Cash Flow Ratio Historical Data,Integer Holdings Price to Free Cash Flow Ratio Historical Data,Integer Holdings Price to Free Cash Flow Ratio Historical Data,Integer Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,130.42,,67.54
2024-06-30,115.79,$1.93,59.97
2024-03-31,116.68,$2.18,53.64
2023-12-31,99.08,$1.79,55.33
2023-09-30,78.43,$1.84,42.69
2023-06-30,88.61,$0.97,91.74
2023-03-31,77.5,$0.48,160.26
2022-12-31,68.46,$1.27,53.99
2022-09-30,62.23,$1.15,54.08
2022-06-30,70.66,$2.05,34.46
2022-03-31,80.57,$2.48,32.46
2021-12-31,85.59,$3.12,27.46
2021-09-30,89.34,$4.43,20.17
2021-06-30,94.2,$4.03,23.37
2021-03-31,92.1,$4.40,20.92
2020-12-31,81.19,$4.06,19.97
2020-09-30,59.01,$3.18,18.56
2020-06-30,73.05,$3.52,20.75
2020-03-31,62.86,$3.96,15.87
2019-12-31,80.43,$3.55,22.67
2019-09-30,75.56,$3.68,20.53
2019-06-30,83.92,$3.88,21.64
2019-03-31,75.42,$0.71,105.69
2018-12-31,76.26,$1.25,61.05
2018-09-30,82.95,$1.04,79.42
2018-06-30,64.65,$0.65,99.72
2017-12-31,45.3,$3.20,14.16
2017-09-30,51.15,$2.96,17.27
2017-06-30,43.25,$3.24,13.36
2017-03-31,40.2,$3.06,13.13
2016-12-31,29.45,$1.96,15.01
2018-03-31,56.55,$1.91,29.62
2016-09-30,21.69,$-0.38,0.0
2016-06-30,30.93,$-1.09,0.0
2016-03-31,35.64,$-0.52,0.0
2015-12-31,47.92,$-1.19,0.0
2015-09-30,51.5,$0.67,76.85
2015-06-30,49.22,$1.62,30.3
2015-03-31,52.8,$1.83,28.91
2014-12-31,45.0,$2.17,20.7
2014-09-30,38.89,$2.96,13.16
2014-06-30,44.78,$2.88,15.55
2014-03-31,41.91,$2.14,19.63
2013-12-31,40.38,$1.51,26.77
2013-09-30,31.06,$0.80,38.71
2013-06-30,29.93,$0.22,133.49
2013-03-31,27.26,$0.85,32.08
2012-12-31,21.21,$1.01,21.05
2012-09-30,22.21,$1.41,15.78
2012-06-30,20.73,$1.73,11.97
2012-03-31,22.38,$1.63,13.74
2011-12-31,20.17,$2.86,7.05
2011-09-30,18.26,$1.72,10.6
2011-06-30,24.48,$2.18,11.22
2011-03-31,24.15,$1.19,20.38
2010-12-31,22.04,$1.14,19.35
2010-09-30,21.17,$2.18,9.69
2010-06-30,20.36,$1.80,11.29
2009-12-31,17.55,$2.28,7.71
2009-09-30,20.51,$2.32,8.82
