Globus Medical Price to Free Cash Flow Ratio Historical Data,Globus Medical Price to Free Cash Flow Ratio Historical Data,Globus Medical Price to Free Cash Flow Ratio Historical Data,Globus Medical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,73.92,,58.06
2024-06-30,68.49,$1.27,53.79
2024-03-31,53.64,$1.25,42.84
2023-12-31,53.29,$1.44,36.97
2023-09-30,49.65,$1.16,42.74
2023-06-30,59.54,$1.18,50.26
2023-03-31,56.64,$1.15,49.47
2022-12-31,74.27,$1.02,73.01
2022-09-30,59.57,$1.16,51.23
2022-06-30,56.14,$1.51,37.13
2022-03-31,73.78,$1.87,39.51
2021-12-31,72.2,$2.12,34.1
2021-09-30,76.62,$2.19,35.06
2021-06-30,77.53,$1.97,39.31
2021-03-31,61.67,$1.63,37.83
2020-12-31,65.22,$1.34,48.73
2020-09-30,49.52,$1.07,46.5
2020-06-30,47.71,$1.15,41.64
2020-03-31,42.53,$1.08,39.42
2019-12-31,58.88,$0.99,59.33
2019-09-30,51.12,$0.90,57.02
2019-06-30,42.3,$0.83,50.7
2019-03-31,49.41,$0.96,51.21
2018-12-31,43.28,$1.25,34.54
2018-09-30,56.76,$1.29,43.96
2018-06-30,50.46,$1.15,43.89
2018-03-31,49.82,$1.07,46.71
2017-12-31,41.1,$1.10,37.34
2017-09-30,29.72,$0.91,32.78
2017-06-30,33.15,$1.06,31.4
2017-03-31,29.62,$1.06,27.93
2016-12-31,24.81,$1.11,22.38
2016-09-30,22.57,$1.32,17.16
2016-06-30,23.83,$1.13,21.0
2016-03-31,23.75,$0.67,35.34
2015-12-31,27.82,$0.12,236.77
2015-09-30,20.66,$0.12,169.34
2015-06-30,25.67,$-0.01,0.0
2014-12-31,23.77,$0.57,41.69
2014-09-30,19.67,$1.10,17.89
2014-06-30,23.92,$1.05,22.82
2014-03-31,26.59,$1.28,20.78
2013-12-31,20.18,$1.07,18.92
2015-03-31,25.24,$0.73,34.36
2013-09-30,17.46,$0.64,27.47
2013-06-30,16.86,$0.71,23.6
