Alcoa Price to Free Cash Flow Ratio Historical Data,Alcoa Price to Free Cash Flow Ratio Historical Data,Alcoa Price to Free Cash Flow Ratio Historical Data,Alcoa Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,40.35,,0.0
2024-06-30,39.65,$-1.46,0.0
2024-03-31,33.6,$-2.88,0.0
2023-12-31,33.69,$-2.45,0.0
2023-09-30,28.68,$-2.83,0.0
2023-06-30,33.39,$-2.29,0.0
2023-03-31,41.77,$0.74,56.23
2022-12-31,44.54,$1.92,23.23
2022-09-30,32.89,$5.75,5.72
2022-06-30,44.44,$7.51,5.92
2022-03-31,87.64,$4.91,17.85
2021-12-31,57.93,$7.87,7.36
2021-09-30,47.48,$3.97,11.96
2021-06-30,35.74,$2.53,14.11
2021-03-31,31.52,$3.95,7.98
2020-12-31,22.36,$1.28,17.41
2020-09-30,11.28,$2.38,4.75
2020-06-30,10.91,$2.46,4.43
2020-03-31,5.98,$1.62,3.7
2019-12-31,20.87,$3.60,5.8
2019-09-30,19.47,$3.96,4.91
2019-06-30,22.71,$0.65,34.68
2018-12-31,25.79,$0.26,97.46
2018-09-30,39.2,$3.28,11.96
2018-06-30,45.49,$2.81,16.18
2018-03-31,43.62,$7.12,6.13
2017-12-31,52.27,$8.44,6.19
2019-03-31,27.32,$4.64,5.88
2017-09-30,45.23,$0.75,60.07
