Texas Capital Bancshares Price to Free Cash Flow Ratio Historical Data,Texas Capital Bancshares Price to Free Cash Flow Ratio Historical Data,Texas Capital Bancshares Price to Free Cash Flow Ratio Historical Data,Texas Capital Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,80.54,,53.12
2024-06-30,61.14,$1.52,40.32
2023-12-31,64.63,$7.35,8.79
2023-09-30,58.9,$4.66,12.63
2023-06-30,51.5,$4.45,11.57
2023-03-31,48.96,$4.36,11.23
2022-12-31,60.31,$5.35,11.28
2024-03-31,61.55,$5.63,10.94
2022-09-30,59.03,$6.18,9.55
2022-06-30,52.64,$6.92,7.61
2022-03-31,57.31,$10.27,5.58
2021-12-31,60.25,$12.77,4.72
2021-09-30,60.02,$19.91,3.01
2021-06-30,63.49,$16.05,3.96
2021-03-31,70.92,$20.64,3.44
2020-12-31,59.5,$52.13,1.14
2020-09-30,31.13,$46.58,0.67
2020-06-30,30.87,$19.35,1.59
2020-03-31,22.17,$27.06,0.82
2019-12-31,56.77,$-5.09,0.0
2019-09-30,54.65,$-14.22,0.0
2019-06-30,61.37,$6.50,9.44
2019-03-31,54.59,$-10.46,0.0
2018-12-31,51.09,$-13.92,0.0
2018-09-30,82.65,$-9.59,0.0
2018-03-31,89.9,$-0.77,0.0
2017-12-31,88.9,$2.39,37.27
2017-09-30,85.8,$-9.47,0.0
2017-06-30,77.4,$-2.66,0.0
2017-03-31,83.45,$-10.93,0.0
2016-12-31,78.4,$-15.67,0.0
2018-06-30,91.5,$-3.48,0.0
2016-09-30,54.92,$-9.74,0.0
2016-06-30,46.76,$-1.62,0.0
2016-03-31,38.38,$0.70,55.1
2015-12-31,49.42,$1.38,35.91
2015-09-30,52.44,$2.67,19.61
2015-06-30,62.24,$4.25,14.66
2015-03-31,48.65,$3.14,15.5
2014-12-31,54.33,$3.23,16.84
2014-09-30,57.68,$3.18,18.11
2014-06-30,53.95,$2.26,23.84
2014-03-31,64.94,$3.57,18.17
2013-12-31,62.2,$4.48,13.87
2013-09-30,45.89,$22.64,2.03
2013-06-30,44.36,$12.19,3.64
2013-03-31,40.45,$7.86,5.14
2012-12-31,44.82,$2.13,21.0
2012-09-30,49.71,$2.96,16.8
2012-06-30,40.39,$-8.36,0.0
2012-03-31,34.62,$8.86,3.91
2011-12-31,30.61,$18.76,1.63
2011-09-30,22.85,$-10.95,0.0
2011-06-30,25.83,$-0.78,0.0
2010-12-31,21.34,$-10.92,0.0
2010-09-30,17.27,$-32.01,0.0
2010-06-30,16.4,$-11.09,0.0
2010-03-31,18.99,$0.11,166.14
2009-12-31,13.96,$-7.79,0.0
2011-03-31,25.99,$10.63,2.44
