Lattice Semiconductor Price to Free Cash Flow Ratio Historical Data,Lattice Semiconductor Price to Free Cash Flow Ratio Historical Data,Lattice Semiconductor Price to Free Cash Flow Ratio Historical Data,Lattice Semiconductor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,50.72,,1432.77
2024-06-30,57.99,$0.04,1638.14
2023-12-31,68.99,$1.78,38.66
2023-09-30,85.93,$1.80,47.72
2023-06-30,96.07,$1.67,57.42
2023-03-31,95.5,$1.52,62.93
2022-12-31,64.88,$1.53,42.36
2022-09-30,49.21,$1.37,35.95
2022-06-30,48.5,$1.24,39.06
2022-03-31,60.95,$1.19,51.35
2021-12-31,77.06,$1.11,69.37
2021-09-30,64.65,$0.91,70.71
2021-06-30,56.18,$0.82,68.86
2021-03-31,45.02,$0.64,70.72
2020-12-31,45.82,$0.56,81.36
2020-09-30,28.96,$0.68,42.43
2020-06-30,28.39,$0.58,48.65
2020-03-31,17.82,$0.78,22.93
2019-12-31,19.14,$0.79,24.21
2019-09-30,18.29,$0.76,24.21
2019-06-30,14.59,$0.72,20.28
2019-03-31,11.93,$0.47,25.19
2018-12-31,6.92,$0.34,20.33
2018-09-30,8.0,$0.30,26.75
2018-06-30,6.56,$0.25,26.16
2018-03-31,5.57,$0.44,12.78
2024-03-31,78.23,$0.43,180.17
2017-12-31,5.78,$0.28,20.54
2017-09-30,5.21,$0.43,12.2
2017-06-30,6.66,$0.06,113.65
2017-03-31,6.92,$0.11,60.97
2016-12-31,7.36,$0.22,32.73
2016-09-30,6.49,$-0.02,0.0
2016-06-30,5.35,$0.05,113.59
2016-03-31,5.68,$-0.18,0.0
2015-12-31,6.47,$-0.35,0.0
2015-09-30,3.85,$-0.17,0.0
2015-06-30,5.89,$0.02,303.61
2015-03-31,6.34,$0.34,18.6
2014-12-31,6.89,$0.37,18.63
2014-09-30,7.5,$0.36,21.11
2014-06-30,8.25,$0.59,14.1
2014-03-31,7.84,$0.37,21.19
2013-12-31,5.49,$0.38,14.61
2013-09-30,4.46,$0.31,14.37
2013-06-30,5.07,$0.05,101.81
2013-03-31,5.46,$0.04,124.26
2012-12-31,3.99,$-0.08,0.0
2012-09-30,3.84,$-0.00,0.0
2012-06-30,3.75,$0.13,28.96
2012-03-31,6.43,$0.30,21.41
2011-12-31,5.94,$0.41,14.58
2011-09-30,5.25,$0.41,12.66
2011-06-30,6.52,$0.30,21.84
2011-03-31,5.9,$0.41,14.5
2010-12-31,6.06,$0.58,10.53
2010-09-30,4.75,$0.86,5.54
2010-06-30,4.34,$0.86,5.06
2010-03-31,3.67,$0.92,3.98
2009-12-31,2.7,$0.82,3.3
