Palantir Technologies Price to Free Cash Flow Ratio Historical Data,Palantir Technologies Price to Free Cash Flow Ratio Historical Data,Palantir Technologies Price to Free Cash Flow Ratio Historical Data,Palantir Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,42.0,,141.7
2024-06-30,25.33,$0.30,85.46
2024-03-31,23.01,$0.27,84.04
2023-12-31,17.17,$0.30,56.61
2023-09-30,16.0,$0.21,76.81
2023-06-30,15.33,$0.17,90.5
2023-03-31,8.45,$0.16,52.35
2022-12-31,6.42,$0.09,72.13
2022-09-30,8.13,$0.10,80.42
2022-06-30,9.07,$0.13,68.92
2022-03-31,13.73,$0.11,121.29
2021-12-31,18.21,$0.17,109.04
2021-09-30,24.04,$0.26,92.64
2021-06-30,26.36,$-0.10,0.0
