ACI Worldwide Price to Free Cash Flow Ratio Historical Data,ACI Worldwide Price to Free Cash Flow Ratio Historical Data,ACI Worldwide Price to Free Cash Flow Ratio Historical Data,ACI Worldwide Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,51.94,,22.54
2024-06-30,39.59,$2.30,17.18
2024-03-31,33.21,$1.90,17.49
2023-12-31,30.6,$1.20,25.48
2023-09-30,22.56,$0.73,31.09
2023-06-30,23.17,$0.79,29.24
2023-03-31,26.98,$1.02,26.45
2022-12-31,23.0,$0.91,25.39
2022-09-30,20.9,$1.20,17.49
2022-06-30,25.89,$1.26,20.61
2022-03-31,31.49,$1.16,27.07
2021-12-31,34.7,$1.48,23.51
2021-09-30,30.73,$1.88,16.31
2021-06-30,37.14,$2.10,17.66
2021-03-31,38.05,$2.35,16.18
2020-12-31,38.43,$2.27,16.92
2020-09-30,26.13,$1.60,16.28
2020-06-30,26.99,$1.26,21.34
2020-03-31,24.15,$0.84,28.72
2019-12-31,37.89,$0.71,53.1
2019-09-30,31.33,$1.10,28.53
2019-06-30,34.34,$1.12,30.76
2019-03-31,32.87,$1.19,27.62
2018-12-31,27.67,$1.19,23.24
2018-09-30,28.14,$0.92,30.58
2018-06-30,24.67,$0.52,47.4
2018-03-31,23.72,$0.42,56.29
2017-12-31,22.67,$0.77,29.5
2017-09-30,22.78,$0.55,41.38
2017-06-30,22.37,$0.67,33.59
2017-03-31,21.39,$0.76,28.14
2016-12-31,18.15,$1.99,9.13
2016-09-30,19.38,$2.21,8.77
2016-06-30,19.51,$2.88,6.78
2016-03-31,20.79,$2.71,7.67
2015-12-31,21.4,$1.17,18.3
2015-09-30,21.12,$1.46,14.5
2015-06-30,24.57,$1.03,23.85
2015-03-31,21.66,$1.33,16.28
2014-12-31,20.17,$1.08,18.7
2014-09-30,18.76,$0.71,26.59
2014-06-30,18.61,$0.80,23.15
2014-03-31,19.73,$0.73,27.14
2013-12-31,21.67,$0.88,24.58
2013-09-30,18.02,$0.57,31.61
2013-06-30,15.49,$0.35,44.75
2013-03-31,16.29,$0.14,119.93
2012-12-31,14.56,$-0.22,0.0
2012-09-30,14.09,$0.06,235.17
2012-06-30,14.74,$0.31,47.83
2012-03-31,13.42,$0.39,34.59
2011-12-31,9.55,$0.63,15.19
2011-09-30,9.18,$0.64,14.36
2011-06-30,11.26,$0.68,16.47
2011-03-31,10.93,$0.68,16.02
2010-12-31,8.96,$0.67,13.36
2010-09-30,7.46,$0.67,11.18
2010-06-30,6.49,$0.30,21.3
2010-03-31,6.87,$0.44,15.46
2009-12-31,5.72,$0.33,17.56
