Banco Bradesco SA Price to Free Cash Flow Ratio Historical Data,Banco Bradesco SA Price to Free Cash Flow Ratio Historical Data,Banco Bradesco SA Price to Free Cash Flow Ratio Historical Data,Banco Bradesco SA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,2.67,,1.13
2024-06-30,2.2,$2.36,0.93
2024-03-31,2.71,$2.41,1.13
2023-09-30,2.58,$1.68,1.54
2023-03-31,2.33,$0.42,5.58
2022-03-31,3.52,$1.71,2.05
2021-09-30,2.85,$1.98,1.44
2021-03-31,3.1,$1.87,1.66
2020-09-30,2.22,$2.36,0.94
2020-03-31,2.61,$1.03,2.54
2019-03-31,5.5,$0.65,8.52
2018-03-31,5.26,$0.46,11.44
2017-03-31,3.94,$0.30,13.2
2016-03-31,2.48,$2.01,1.24
2015-06-30,2.91,$3.63,0.8
2015-03-31,2.93,$4.83,0.61
2014-12-31,3.49,$5.34,0.65
2014-09-30,3.66,$3.50,1.04
2014-06-30,3.72,$1.31,2.83
2014-03-31,3.48,$5.31,0.66
2013-12-31,3.15,$4.57,0.69
2013-09-30,3.44,$3.15,1.09
2013-06-30,3.22,$3.09,1.04
2013-03-31,4.17,$-1.12,0.0
2012-12-31,3.86,$2.85,1.35
2012-09-30,3.51,$3.70,0.95
2012-06-30,3.24,$2.39,1.36
2012-03-31,3.78,$1.49,2.54
2011-12-31,3.59,$-0.79,0.0
2011-09-30,3.11,$-2.00,0.0
2011-06-30,4.3,$-2.66,0.0
2011-03-31,4.33,$-1.58,0.0
2010-12-31,4.19,$-3.43,0.0
2010-09-30,4.14,$-2.65,0.0
2010-06-30,2.92,$-0.28,0.0
2010-03-31,3.37,$-0.52,0.0
2009-12-31,3.63,$0.05,71.36
