Coty Price to Free Cash Flow Ratio Historical Data,Coty Price to Free Cash Flow Ratio Historical Data,Coty Price to Free Cash Flow Ratio Historical Data,Coty Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,7.82,,18.7
2024-06-30,10.02,$0.42,23.96
2024-03-31,11.96,$0.32,37.82
2023-12-31,12.42,$0.31,40.42
2023-09-30,10.97,$0.50,21.96
2023-06-30,12.29,$0.45,27.04
2023-03-31,12.06,$0.35,34.52
2022-12-31,8.56,$0.42,20.41
2022-09-30,6.32,$0.46,13.84
2022-06-30,8.01,$0.66,12.09
2022-03-31,8.99,$0.74,12.19
2021-12-31,10.5,$0.64,16.41
2021-09-30,7.86,$0.53,14.79
2021-06-30,9.34,$0.20,47.9
2021-03-31,9.01,$-0.22,0.0
2020-12-31,7.02,$-0.36,0.0
2020-09-30,2.7,$-0.75,0.0
2020-06-30,4.47,$-0.58,0.0
2020-03-31,5.16,$0.03,193.98
2019-12-31,11.13,$0.71,15.78
2019-06-30,12.96,$0.30,43.01
2019-03-31,11.01,$0.23,48.28
2018-12-31,6.21,$-0.02,0.0
2018-09-30,11.72,$-0.55,0.0
2018-06-30,13.03,$-0.01,0.0
2019-09-30,10.29,$-0.23,0.0
2018-03-31,16.76,$-0.17,0.0
2017-12-31,18.1,$0.01,0.0
2017-09-30,14.93,$0.67,22.31
2017-06-30,16.82,$0.52,32.13
2017-03-31,16.15,$0.62,25.91
2016-12-31,16.2,$0.45,35.68
2016-09-30,20.65,$0.57,36.17
2016-06-30,22.62,$1.07,21.05
2016-03-31,24.22,$1.24,19.48
2015-12-31,22.3,$1.52,14.63
2015-09-30,23.55,$1.31,17.94
2015-06-30,27.55,$1.02,27.01
2015-03-31,20.92,$0.92,22.83
2014-12-31,17.81,$0.78,22.87
2014-09-30,14.26,$0.70,20.26
2014-06-30,14.76,$0.89,16.65
2014-03-31,12.91,$1.47,8.79
