American Homes 4 Rent Price to Free Cash Flow Ratio Historical Data,American Homes 4 Rent Price to Free Cash Flow Ratio Historical Data,American Homes 4 Rent Price to Free Cash Flow Ratio Historical Data,American Homes 4 Rent Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,38.11,,12.57
2024-06-30,36.93,$3.03,12.18
2024-03-31,36.28,$2.87,12.64
2023-12-31,35.22,$2.94,11.97
2023-09-30,32.8,$2.94,11.15
2023-06-30,34.31,$2.78,12.36
2023-03-31,30.25,$2.06,14.69
2022-12-31,28.77,$0.80,36.13
2022-09-30,31.15,$-0.09,0.0
2022-06-30,33.48,$-1.20,0.0
2022-03-31,37.61,$-1.40,0.0
2021-12-31,40.78,$-0.85,0.0
2021-09-30,35.56,$0.11,330.8
2021-06-30,36.15,$0.53,67.83
2021-03-31,30.95,$1.06,29.27
2020-12-31,27.76,$1.07,25.94
2020-09-30,26.31,$-0.07,0.0
2020-06-30,24.81,$0.98,25.36
2020-03-31,21.36,$0.78,27.53
2019-12-31,24.08,$0.87,27.8
2019-09-30,23.74,$1.19,19.88
2019-06-30,22.25,$0.33,66.45
2019-03-31,20.75,$0.57,36.3
2018-12-31,18.09,$-0.10,0.0
2018-09-30,19.95,$-0.98,0.0
2018-06-30,20.17,$-1.44,0.0
2018-03-31,18.22,$-1.91,0.0
2017-12-31,19.76,$-1.53,0.0
2017-09-30,19.6,$-0.44,0.0
2017-06-30,20.33,$0.05,393.98
2017-03-31,20.63,$0.21,96.42
2016-12-31,18.81,$0.32,59.07
2016-09-30,19.36,$0.35,55.29
2016-06-30,18.28,$-0.01,0.0
2016-03-31,14.15,$-0.56,0.0
2015-12-31,14.78,$-2.01,0.0
2015-09-30,14.22,$-4.13,0.0
2015-06-30,14.14,$-4.97,0.0
2015-03-31,14.55,$-5.75,0.0
2014-12-31,14.92,$-6.05,0.0
2014-09-30,14.76,$-9.57,0.0
2014-06-30,15.47,$-18.89,0.0
