Spire Price to Free Cash Flow Ratio Historical Data,Spire Price to Free Cash Flow Ratio Historical Data,Spire Price to Free Cash Flow Ratio Historical Data,Spire Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,63.78,,89.34
2024-06-30,60.03,$0.71,84.09
2024-03-31,59.9,$0.89,67.25
2023-12-31,60.1,$-0.96,0.0
2023-09-30,53.9,$-4.23,0.0
2023-06-30,59.7,$-7.26,0.0
2023-03-31,65.3,$-9.65,0.0
2022-12-31,63.42,$-8.48,0.0
2022-09-30,56.81,$-4.85,0.0
2022-06-30,67.12,$-1.00,0.0
2022-03-31,64.19,$0.70,92.27
2021-09-30,53.6,$-7.25,0.0
2021-06-30,62.69,$-0.71,0.0
2021-03-31,63.54,$-6.08,0.0
2020-12-31,54.58,$-6.26,0.0
2020-09-30,44.89,$-1.21,0.0
2021-12-31,57.76,$-7.69,0.0
2020-06-30,54.82,$-4.45,0.0
2020-03-31,61.61,$-6.25,0.0
2019-12-31,68.36,$-7.15,0.0
2019-09-30,71.02,$-7.33,0.0
2019-06-30,67.85,$-7.74,0.0
2019-03-31,66.06,$-4.37,0.0
2018-12-31,59.03,$-1.63,0.0
2018-09-30,58.17,$-0.87,0.0
2018-06-30,55.46,$-0.08,0.0
2018-03-31,56.28,$-2.10,0.0
2017-12-31,58.02,$-3.38,0.0
2017-09-30,57.23,$-3.19,0.0
2017-06-30,53.11,$-2.37,0.0
2017-03-31,51.02,$-1.15,0.0
2016-12-31,48.4,$-0.27,0.0
2016-09-30,47.4,$0.79,59.99
2016-06-30,52.29,$0.60,86.79
2016-03-31,49.64,$0.06,861.83
2015-12-31,43.21,$1.13,38.28
2015-09-30,39.33,$-1.72,0.0
2015-06-30,37.21,$1.15,32.41
2015-03-31,36.28,$4.69,7.74
2014-09-30,32.28,$-1.04,0.0
2014-06-30,33.47,$5.92,5.65
2014-03-31,32.2,$3.90,8.26
2013-12-31,30.81,$-0.79,0.0
2013-09-30,30.14,$5.01,6.01
2014-12-31,37.34,$0.50,74.49
2013-06-30,30.29,$1.25,24.33
2013-03-31,28.07,$3.03,9.27
2012-12-31,25.12,$2.88,8.73
2012-09-30,27.68,$0.87,31.98
2012-06-30,25.38,$-0.16,0.0
2012-03-31,24.6,$0.90,27.44
2011-12-31,25.26,$1.86,13.58
2011-09-30,23.93,$4.49,5.33
2011-06-30,23.12,$3.88,5.95
2011-03-31,23.03,$5.19,4.43
2010-12-31,21.86,$2.33,9.38
2010-09-30,20.36,$2.27,8.99
2010-06-30,19.37,$10.08,1.92
2010-03-31,19.47,$1.86,10.45
2009-12-31,19.27,$7.52,2.56
