Wintrust Financial Price to Free Cash Flow Ratio Historical Data,Wintrust Financial Price to Free Cash Flow Ratio Historical Data,Wintrust Financial Price to Free Cash Flow Ratio Historical Data,Wintrust Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,117.01,,8.27
2024-06-30,98.11,$14.15,6.93
2024-03-31,103.45,$12.21,8.47
2023-12-31,91.47,$16.71,5.47
2023-09-30,74.08,$15.91,4.66
2023-03-31,70.78,$15.20,4.66
2022-12-31,81.66,$21.99,3.71
2022-09-30,78.5,$28.69,2.74
2022-06-30,76.85,$19.93,3.86
2022-03-31,88.75,$15.32,5.79
2021-12-31,86.45,$14.89,5.8
2023-06-30,70.91,$6.42,11.04
2021-09-30,76.24,$10.45,7.3
2021-06-30,71.43,$8.02,8.91
2021-03-31,71.31,$0.55,129.84
2020-12-31,57.21,$-10.03,0.0
2020-09-30,37.31,$-3.74,0.0
2020-06-30,40.37,$-3.68,0.0
2020-03-31,30.18,$-5.00,0.0
2019-12-31,64.84,$3.19,20.31
2019-09-30,58.89,$0.47,126.4
2019-06-30,66.66,$4.02,16.58
2019-03-31,61.35,$6.51,9.43
2018-12-31,60.37,$5.40,11.18
2018-09-30,76.94,$7.75,9.92
2018-06-30,78.68,$5.50,14.3
2018-03-31,77.62,$4.10,18.93
2017-12-31,74.13,$6.04,12.27
2017-09-30,70.35,$9.02,7.8
2017-06-30,68.54,$9.06,7.57
2017-03-31,61.86,$7.32,8.45
2016-12-31,64.82,$5.44,11.92
2016-09-30,49.53,$-0.10,0.0
2016-06-30,45.35,$0.34,134.06
2015-12-31,42.92,$-0.09,0.0
2015-09-30,47.16,$1.87,25.27
2015-06-30,47.02,$1.42,33.11
2015-03-31,41.91,$1.17,35.88
2014-12-31,41.0,$2.80,14.64
2016-03-31,39.34,$3.65,10.78
2014-09-30,39.08,$3.63,10.77
2014-06-30,40.16,$7.29,5.51
2014-03-31,42.38,$6.16,6.88
2013-12-31,40.08,$5.00,8.02
2013-09-30,35.69,$8.01,4.45
2013-06-30,33.19,$11.97,2.77
2013-03-31,32.12,$5.78,5.55
2012-12-31,31.74,$4.05,7.85
2012-09-30,32.5,$-1.45,0.0
2012-06-30,30.63,$-11.85,0.0
2012-03-31,30.88,$-4.07,0.0
2011-12-31,24.14,$3.75,6.43
2011-09-30,22.21,$2.49,8.91
2011-06-30,27.6,$4.82,5.72
2011-03-31,31.52,$5.06,6.23
2010-12-31,28.26,$2.96,9.54
2010-09-30,27.73,$2.70,10.25
2010-06-30,28.44,$2.91,9.76
2010-03-31,31.74,$-20.92,0.0
2009-12-31,26.19,$-32.62,0.0
