GameStop Price to Free Cash Flow Ratio Historical Data,GameStop Price to Free Cash Flow Ratio Historical Data,GameStop Price to Free Cash Flow Ratio Historical Data,GameStop Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,21.41,,0.0
2024-07-31,22.67,$-0.08,0.0
2024-04-30,11.09,$-0.75,0.0
2024-01-31,14.23,$-0.74,0.0
2023-10-31,13.77,$0.40,34.76
2023-07-31,22.2,$0.86,25.94
2023-04-30,19.29,$1.51,12.74
2023-01-31,21.87,$1.37,15.93
2022-10-31,28.31,$-0.70,0.0
2022-07-31,34.01,$-1.31,0.0
2022-01-31,27.23,$-1.71,0.0
2021-10-31,45.88,$-0.67,0.0
2021-07-31,40.28,$-0.27,0.0
2021-04-30,43.4,$0.70,61.81
2021-01-31,81.25,$0.61,132.7
2020-10-31,2.62,$0.86,3.06
2020-07-31,1.0,$1.00,1.01
2020-04-30,1.43,$0.04,34.11
2020-01-31,0.96,$-1.41,0.0
2019-10-31,1.36,$-1.01,0.0
2019-07-31,1.01,$-0.00,0.0
2019-04-30,2.16,$0.25,8.79
2019-01-31,2.74,$0.57,4.84
2018-10-31,3.43,$0.45,7.7
2018-07-31,3.31,$0.53,6.3
2018-04-30,3.05,$0.13,23.95
2018-01-31,3.67,$0.79,4.64
2017-10-31,4.0,$0.63,6.3
2017-07-31,4.55,$1.27,3.58
2017-04-30,4.68,$1.30,3.59
2017-01-31,4.98,$0.95,5.24
2016-10-31,4.82,$1.06,4.56
2016-07-31,6.12,$0.16,38.36
2022-04-30,31.27,$0.46,68.39
2016-01-31,5.06,$1.13,4.46
2015-10-31,8.79,$1.82,4.83
2015-07-31,8.68,$0.48,18.14
2015-04-30,7.23,$0.91,7.97
2015-01-31,6.56,$1.20,5.44
2016-04-30,6.4,$-1.13,0.0
2014-10-31,7.89,$0.31,25.15
2014-07-31,7.68,$0.91,8.45
2014-04-30,7.2,$1.08,6.64
2014-01-31,6.3,$1.35,4.69
2013-10-31,9.8,$1.57,6.22
2013-07-31,8.72,$1.09,7.98
2013-04-30,6.15,$0.88,6.97
2013-01-31,4.04,$0.93,4.34
2012-10-31,3.94,$0.93,4.24
2012-07-31,2.73,$0.96,2.85
2012-04-30,3.85,$0.81,4.77
2012-01-31,3.92,$0.85,4.64
2011-10-31,4.29,$1.16,3.71
2011-07-31,3.96,$0.69,5.74
2011-04-30,4.31,$0.80,5.37
2011-01-31,3.54,$0.64,5.54
2010-10-31,3.3,$0.64,5.16
2010-07-31,3.37,$0.62,5.47
2010-04-30,4.08,$0.70,5.82
2010-01-31,3.32,$0.72,4.64
2009-10-31,4.08,$0.25,16.11
