BeiGene Price to Free Cash Flow Ratio Historical Data,BeiGene Price to Free Cash Flow Ratio Historical Data,BeiGene Price to Free Cash Flow Ratio Historical Data,BeiGene Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,212.39,,0.0
2024-06-30,142.67,$-12.32,0.0
2024-03-31,156.39,$-14.31,0.0
2023-12-31,180.36,$-16.47,0.0
2023-09-30,179.87,$-16.84,0.0
2023-06-30,178.3,$-21.30,0.0
2023-03-31,215.53,$-7.45,0.0
2022-12-31,219.94,$-7.55,0.0
2022-09-30,134.82,$-9.27,0.0
2022-06-30,161.85,$-7.78,0.0
2021-12-31,270.93,$-16.83,0.0
2021-09-30,363.0,$-24.16,0.0
2021-06-30,343.19,$-20.88,0.0
2021-03-31,348.08,$-19.15,0.0
2020-12-31,258.39,$-23.78,0.0
2022-03-31,188.6,$-14.45,0.0
2020-09-30,286.44,$-16.41,0.0
2020-06-30,188.4,$-18.10,0.0
2020-03-31,123.11,$-15.43,0.0
2019-12-31,165.76,$-13.99,0.0
2019-09-30,122.46,$-14.06,0.0
2019-06-30,123.95,$-11.70,0.0
2019-03-31,132.0,$-12.88,0.0
2018-12-31,140.26,$-11.84,0.0
2018-09-30,172.22,$-5.50,0.0
2018-06-30,153.73,$-2.88,0.0
2018-03-31,168.0,$-1.99,0.0
2017-12-31,97.72,$-0.80,0.0
2017-09-30,103.46,$-3.59,0.0
2017-06-30,45.0,$-4.61,0.0
2017-03-31,36.61,$-3.64,0.0
2016-12-31,30.36,$-3.64,0.0
