Cohen & Steers Inc Price to Free Cash Flow Ratio Historical Data,Cohen & Steers Inc Price to Free Cash Flow Ratio Historical Data,Cohen & Steers Inc Price to Free Cash Flow Ratio Historical Data,Cohen & Steers Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,105.35,,42.32
2024-06-30,72.04,$2.49,28.94
2024-03-31,75.71,$2.73,27.76
2023-12-31,73.97,$2.32,31.88
2023-09-30,60.58,$2.51,24.17
2023-06-30,55.56,$2.56,21.67
2023-03-31,60.64,$2.94,20.62
2022-12-31,60.73,$1.17,52.1
2022-09-30,58.41,$1.48,39.6
2022-06-30,58.89,$2.05,28.74
2022-03-31,78.95,$2.55,30.99
2021-12-31,84.44,$4.89,17.26
2021-09-30,75.18,$3.46,21.71
2021-06-30,73.3,$2.49,29.46
2021-03-31,57.97,$2.09,27.81
2020-12-31,65.49,$1.78,36.77
2020-09-30,48.08,$3.14,15.29
2020-06-30,58.33,$3.07,19.03
2020-03-31,38.7,$3.38,11.45
2019-12-31,53.11,$2.87,18.5
2019-09-30,44.87,$2.16,20.75
2019-06-30,41.74,$2.29,18.24
2019-03-31,34.05,$1.45,23.41
2018-12-31,27.41,$1.46,18.79
2018-09-30,30.06,$1.90,15.83
2018-06-30,30.64,$1.88,16.27
2018-03-31,29.62,$0.72,41.38
2017-12-31,34.17,$1.30,26.31
2017-09-30,27.74,$1.28,21.61
2017-06-30,28.27,$1.21,23.27
2017-03-31,27.67,$2.29,12.08
2016-12-31,23.09,$2.26,10.23
2016-09-30,28.75,$1.60,18.02
2016-06-30,27.03,$1.68,16.09
2016-03-31,25.84,$1.81,14.28
2015-12-31,20.09,$1.90,10.55
2015-09-30,17.66,$2.21,7.97
2015-06-30,21.73,$1.82,11.92
2015-03-31,25.94,$1.09,23.77
2014-12-31,26.5,$1.07,24.85
2014-09-30,23.55,$1.04,22.71
2014-06-30,26.44,$1.63,16.2
2014-03-31,24.16,$2.07,11.67
2013-12-31,24.15,$1.54,15.63
2013-09-30,20.67,$1.74,11.89
2013-06-30,19.77,$0.72,27.61
2013-03-31,20.87,$1.13,18.46
2012-12-31,17.53,$0.38,45.92
2012-09-30,16.09,$0.10,164.36
2012-06-30,18.56,$0.66,28.12
2012-03-31,17.06,$0.55,31.06
2011-12-31,15.37,$1.58,9.72
2011-09-30,15.21,$1.54,9.88
2011-06-30,16.97,$1.43,11.85
2011-03-31,15.12,$0.86,17.56
2010-12-31,13.23,$1.18,11.17
2010-09-30,10.96,$0.93,11.76
2010-06-30,9.48,$0.72,13.18
2010-03-31,11.36,$0.70,16.18
2009-12-31,10.35,$0.46,22.3
