TransMedics Price to Free Cash Flow Ratio Historical Data,TransMedics Price to Free Cash Flow Ratio Historical Data,TransMedics Price to Free Cash Flow Ratio Historical Data,TransMedics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,127.15,,0.0
2024-06-30,150.62,$-6.69,0.0
2024-03-31,73.94,$-6.98,0.0
2023-12-31,78.93,$-5.91,0.0
2023-09-30,54.75,$-5.13,0.0
2023-06-30,83.98,$-1.26,0.0
2023-03-31,75.73,$-1.52,0.0
2022-12-31,61.72,$-1.95,0.0
2022-09-30,41.74,$-2.04,0.0
2022-06-30,31.45,$-1.90,0.0
2022-03-31,26.94,$-1.63,0.0
2021-12-31,19.16,$-1.17,0.0
2021-09-30,33.09,$-1.19,0.0
2021-06-30,33.18,$-0.99,0.0
2021-03-31,41.49,$-1.11,0.0
2020-12-31,19.9,$-1.24,0.0
2020-09-30,13.78,$-1.96,0.0
2020-06-30,17.92,$-1.53,0.0
2020-03-31,12.08,$-2.68,0.0
