Trex Price to Free Cash Flow Ratio Historical Data,Trex Price to Free Cash Flow Ratio Historical Data,Trex Price to Free Cash Flow Ratio Historical Data,Trex Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,63.89,,41.84
2024-03-31,99.75,$1.53,65.32
2023-12-31,82.79,$2.05,40.34
2023-09-30,61.63,$0.80,77.01
2023-06-30,65.56,$-0.43,0.0
2023-03-31,48.67,$-1.45,0.0
2022-12-31,42.33,$0.42,100.05
2022-09-30,43.94,$2.19,20.1
2022-06-30,54.42,$2.92,18.64
2022-03-31,65.33,$3.04,21.49
2021-12-31,135.03,$0.86,156.28
2021-09-30,101.93,$0.79,129.27
2021-06-30,102.21,$-0.02,0.0
2021-03-31,91.54,$-0.48,0.0
2020-12-31,83.72,$0.14,585.05
2020-09-30,71.6,$0.52,138.04
2020-06-30,65.04,$-0.57,0.0
2020-03-31,40.07,$-0.55,0.0
2019-12-31,44.94,$1.77,25.42
2024-06-30,74.12,$-0.49,0.0
2019-09-30,45.47,$0.62,73.43
2019-06-30,35.85,$1.25,28.65
2019-03-31,30.76,$0.75,41.04
2018-12-31,29.68,$0.88,33.59
2018-09-30,38.49,$0.84,45.95
2018-06-30,31.3,$0.63,49.64
2018-03-31,27.19,$0.63,43.33
2017-12-31,27.1,$0.73,36.9
2017-09-30,22.52,$0.65,34.52
2017-06-30,16.92,$0.44,38.25
2017-03-31,17.35,$0.55,31.29
2016-12-31,16.1,$0.63,25.4
2016-09-30,14.68,$1.03,14.24
2016-06-30,11.23,$0.77,14.6
2016-03-31,11.98,$0.32,36.95
2015-12-31,9.51,$0.31,30.64
2015-09-30,8.33,$0.02,551.82
2015-06-30,12.36,$-0.03,0.0
2015-03-31,13.63,$0.28,48.51
2014-12-31,10.65,$0.35,30.49
2014-09-30,8.64,$0.19,45.92
2014-06-30,7.21,$0.15,46.69
2014-03-31,9.15,$0.09,98.97
2013-12-31,9.94,$0.24,42.16
2013-09-30,6.19,$0.31,19.97
2013-06-30,5.94,$0.28,21.34
2013-03-31,6.15,$0.24,25.1
2012-12-31,4.65,$0.39,12.02
2012-09-30,4.27,$0.34,12.49
2012-06-30,3.76,$0.47,8.07
2012-03-31,4.01,$-0.05,0.0
2011-12-31,2.86,$0.21,13.33
2011-09-30,2.0,$0.15,13.03
2011-06-30,3.06,$0.03,95.63
2011-03-31,4.08,$0.33,12.43
2010-12-31,3.0,$0.08,39.93
2010-09-30,2.38,$0.08,28.34
2010-06-30,2.51,$0.07,38.58
2010-03-31,2.66,$-0.08,0.0
2009-12-31,2.45,$0.23,10.47
