Plains All American Pipeline Price to Free Cash Flow Ratio Historical Data,Plains All American Pipeline Price to Free Cash Flow Ratio Historical Data,Plains All American Pipeline Price to Free Cash Flow Ratio Historical Data,Plains All American Pipeline Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,17.35,,7.46
2024-06-30,17.55,$2.33,7.55
2024-03-31,16.95,$2.65,6.39
2023-12-31,14.33,$3.57,4.01
2023-09-30,14.24,$2.55,5.59
2023-06-30,12.87,$3.81,3.38
2023-03-31,11.15,$3.75,2.97
2022-12-31,10.29,$2.87,3.59
2022-09-30,9.04,$3.38,2.67
2022-06-30,8.28,$3.77,2.2
2022-03-31,8.89,$2.97,2.99
2021-12-31,7.59,$3.55,2.14
2021-09-30,8.12,$3.20,2.54
2021-06-30,8.91,$1.83,4.86
2021-03-31,7.0,$1.62,4.33
2020-12-31,6.21,$1.66,3.75
2020-09-30,4.38,$1.90,2.31
2020-06-30,6.33,$1.75,3.62
2020-03-31,3.7,$1.84,2.02
2019-12-31,12.63,$1.75,7.22
2019-09-30,13.98,$2.21,6.32
2019-06-30,16.16,$2.93,5.51
2019-03-31,16.01,$3.37,4.76
2018-12-31,12.92,$2.89,4.47
2018-09-30,15.91,$3.19,4.99
2018-06-30,14.86,$2.76,5.38
2018-03-31,13.67,$3.10,4.41
2017-12-31,12.63,$3.56,3.54
2017-09-30,12.77,$1.61,7.93
2017-06-30,15.51,$1.70,9.1
2017-03-31,18.32,$-0.24,0.0
2016-12-31,18.39,$0.11,161.77
2016-09-30,17.58,$-0.19,0.0
2016-06-30,15.0,$-0.68,0.0
2016-03-31,11.11,$-1.29,0.0
2015-12-31,11.8,$-1.81,0.0
2015-09-30,15.18,$-0.32,0.0
2015-06-30,21.41,$-0.79,0.0
2015-03-31,23.65,$0.05,485.53
2014-12-31,24.55,$0.27,90.59
2014-09-30,27.83,$-0.08,0.0
2014-06-30,28.08,$0.09,329.19
2014-03-31,25.49,$0.74,34.68
2013-12-31,23.64,$1.58,14.99
2013-09-30,23.77,$1.30,18.27
2013-06-30,24.92,$2.34,10.64
2013-03-31,24.96,$1.83,13.65
2012-12-31,19.78,$0.18,111.89
2012-09-30,19.06,$1.60,11.93
2012-06-30,17.25,$3.00,5.76
2012-03-31,16.53,$4.15,3.99
2011-12-31,15.27,$5.83,2.62
2011-09-30,12.06,$3.18,3.8
2011-06-30,12.9,$1.35,9.55
2011-03-31,12.66,$0.12,109.1
2010-12-31,12.29,$-0.69,0.0
2010-09-30,12.13,$0.20,61.28
2010-06-30,11.14,$-0.32,0.0
2010-03-31,10.63,$-0.74,0.0
2009-12-31,9.7,$-0.34,0.0
