United Bankshares Price to Free Cash Flow Ratio Historical Data,United Bankshares Price to Free Cash Flow Ratio Historical Data,United Bankshares Price to Free Cash Flow Ratio Historical Data,United Bankshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,38.22,,12.13
2024-06-30,32.12,$3.15,10.19
2024-03-31,35.02,$3.18,11.02
2023-12-31,36.36,$3.16,11.5
2023-09-30,26.44,$2.94,9.01
2023-06-30,28.07,$3.24,8.65
2023-03-31,32.95,$4.32,7.62
2022-12-31,37.53,$5.51,6.81
2022-09-30,32.85,$4.94,6.65
2022-06-30,31.91,$5.51,5.8
2022-03-31,31.42,$6.05,5.19
2021-12-31,32.34,$4.60,7.03
2021-09-30,32.1,$5.69,5.64
2021-06-30,31.88,$3.19,10.0
2021-03-31,33.39,$1.46,22.88
2020-12-31,27.8,$1.05,26.54
2020-09-30,18.21,$0.13,141.52
2020-06-30,23.14,$1.66,13.95
2020-03-31,19.05,$0.68,28.03
2019-12-31,31.4,$1.39,22.66
2019-09-30,30.48,$1.59,19.16
2019-06-30,29.6,$2.18,13.58
2019-03-31,28.65,$2.24,12.78
2018-12-31,24.37,$2.84,8.57
2018-09-30,28.18,$3.45,8.18
2018-06-30,27.97,$3.05,9.16
2018-03-31,26.84,$3.17,8.47
2017-12-31,26.22,$2.45,10.71
2017-09-30,27.77,$1.71,16.21
2017-06-30,29.0,$1.71,17.01
2017-03-31,30.99,$2.21,14.03
2016-12-31,33.67,$2.22,15.17
2016-09-30,27.24,$2.29,11.89
2016-06-30,26.89,$2.27,11.82
2016-03-31,26.09,$2.48,10.5
2015-12-31,26.06,$2.45,10.64
2015-09-30,26.53,$2.53,10.48
2015-06-30,27.86,$2.38,11.71
2015-03-31,25.81,$2.33,11.08
2014-12-31,25.5,$2.29,11.12
2014-09-30,20.87,$2.28,9.17
2014-06-30,21.6,$2.35,9.19
2014-03-31,20.26,$2.68,7.57
2013-12-31,20.59,$2.82,7.29
2013-09-30,18.78,$2.84,6.61
2013-06-30,16.96,$2.73,6.21
2013-03-31,16.85,$2.75,6.14
2012-12-31,15.23,$2.51,6.06
2012-09-30,15.4,$2.61,5.9
2012-06-30,15.8,$2.37,6.66
2012-03-31,17.4,$2.20,7.92
2011-12-31,16.86,$2.36,7.14
2011-09-30,11.85,$2.15,5.5
2011-06-30,14.25,$2.00,7.13
2011-03-31,15.23,$2.17,7.01
2010-12-31,16.59,$2.24,7.42
2010-09-30,13.99,$1.62,8.63
2010-06-30,13.29,$2.06,6.45
2010-03-31,14.39,$1.46,9.86
2009-12-31,10.83,$1.12,9.67
