Five Below Price to Free Cash Flow Ratio Historical Data,Five Below Price to Free Cash Flow Ratio Historical Data,Five Below Price to Free Cash Flow Ratio Historical Data,Five Below Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,95.05,,308.6
2024-07-31,72.74,$0.31,236.17
2024-04-30,146.34,$1.13,129.93
2024-01-31,179.46,$2.96,60.66
2023-10-31,173.98,$2.54,68.63
2023-07-31,208.34,$3.22,64.73
2023-04-30,197.36,$2.14,92.38
2023-01-31,197.13,$1.13,174.51
2022-10-31,146.35,$-1.65,0.0
2022-07-31,127.07,$-0.69,0.0
2022-04-30,157.1,$0.59,265.28
2022-01-31,164.0,$0.71,232.33
2021-10-31,197.3,$1.88,104.73
2021-07-31,194.42,$3.91,49.73
2021-04-30,201.27,$4.67,43.06
2021-01-31,175.73,$2.96,59.43
2020-10-31,133.34,$1.81,73.69
2020-07-31,108.91,$-0.21,0.0
2020-04-30,90.16,$-1.61,0.0
2020-01-31,113.22,$-0.45,0.0
2019-10-31,125.11,$-0.08,0.0
2019-07-31,117.46,$0.35,338.31
2019-04-30,146.39,$0.34,432.47
2019-01-31,123.73,$1.25,98.79
2018-10-31,113.82,$0.95,120.23
2018-07-31,97.16,$1.73,56.05
2018-04-30,70.61,$1.60,44.09
2018-01-31,64.93,$1.79,36.23
2017-10-31,55.25,$1.24,44.68
2017-07-31,48.31,$1.25,38.62
2017-04-30,49.12,$1.83,26.89
2017-01-31,39.85,$1.12,35.53
2016-10-31,37.58,$0.78,48.16
2016-07-31,51.01,$0.59,85.86
2016-04-30,41.7,$0.52,80.27
2016-01-31,35.23,$0.64,55.38
2015-10-31,34.34,$0.21,163.91
2015-07-31,36.87,$0.60,61.83
2015-04-30,33.72,$0.59,57.55
2015-01-31,33.32,$0.53,62.47
2014-10-31,39.87,$0.30,131.15
2014-07-31,36.62,$0.36,103.04
2014-04-30,40.31,$0.21,194.08
2014-01-31,36.65,$0.10,374.74
2013-10-31,48.26,$0.26,182.46
2013-07-31,38.86,$1.53,25.32
2013-04-30,35.99,$-0.16,0.0
