AAON Price to Free Cash Flow Ratio Historical Data,AAON Price to Free Cash Flow Ratio Historical Data,AAON Price to Free Cash Flow Ratio Historical Data,AAON Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,111.11,,86.09
2024-06-30,87.16,$1.29,67.53
2024-03-31,87.92,$1.59,55.46
2023-12-31,73.65,$0.66,112.08
2023-09-30,56.63,$0.36,157.17
2023-06-30,62.86,$0.44,141.93
2023-03-31,64.03,$-0.21,0.0
2022-12-31,49.81,$-0.18,0.0
2022-09-30,35.52,$-0.58,0.0
2022-06-30,36.1,$-0.93,0.0
2022-03-31,36.62,$-0.34,0.0
2021-12-31,52.19,$0.07,719.83
2021-09-30,42.83,$0.56,76.0
2021-06-30,41.02,$0.77,53.49
2021-03-31,45.75,$0.72,63.34
2020-12-31,43.54,$0.77,56.75
2020-09-30,39.26,$0.87,45.12
2020-06-30,35.38,$0.90,39.36
2020-03-31,31.38,$0.89,35.23
2019-12-31,32.08,$0.77,41.65
2019-09-30,29.73,$0.60,49.46
2019-06-30,32.48,$0.33,97.21
2019-03-31,29.78,$0.27,109.26
2018-12-31,22.61,$0.22,101.49
2018-09-30,24.28,$0.14,179.05
2018-06-30,21.36,$0.12,173.49
2018-03-31,24.93,$0.18,136.82
2017-12-31,23.46,$0.20,114.65
2017-09-30,21.96,$0.37,59.73
2017-06-30,23.47,$0.51,46.33
2017-03-31,22.44,$0.41,54.8
2016-12-31,20.98,$0.47,45.03
2016-09-30,18.22,$0.40,45.54
2016-06-30,17.39,$0.56,31.06
2016-03-31,17.63,$0.52,33.89
2015-12-31,14.62,$0.42,34.68
2015-09-30,12.15,$0.46,26.4
2015-06-30,14.12,$0.35,40.61
2015-03-31,15.31,$0.40,38.52
2014-12-31,13.97,$0.45,30.77
2014-09-30,10.57,$0.45,23.34
2014-06-30,13.88,$0.37,37.98
2014-03-31,11.5,$0.51,22.5
2013-12-31,13.18,$0.54,24.62
2013-09-30,10.92,$0.52,20.98
2013-06-30,9.07,$0.61,14.81
2013-03-31,7.54,$0.43,17.63
2012-12-31,5.7,$0.44,12.84
2012-09-30,5.32,$0.44,12.16
2012-06-30,5.09,$0.21,24.34
2012-03-31,5.42,$0.10,51.75
2011-12-31,5.5,$-0.11,0.0
2011-09-30,4.21,$-0.18,0.0
2011-06-30,5.83,$-0.19,0.0
2011-03-31,5.82,$-0.04,0.0
2010-12-31,4.99,$0.17,28.81
2010-09-30,4.13,$0.22,19.03
2010-06-30,4.1,$0.36,11.54
2010-03-31,3.94,$0.40,9.87
2009-12-31,3.4,$0.41,8.37
