HDFC Bank Price to Free Cash Flow Ratio Historical Data,HDFC Bank Price to Free Cash Flow Ratio Historical Data,HDFC Bank Price to Free Cash Flow Ratio Historical Data,HDFC Bank Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,60.88,,12.39
2024-06-30,63.6,$4.91,12.95
2024-03-31,55.33,$4.91,11.26
2023-12-31,66.35,$2.84,23.4
2023-09-30,58.34,$5.19,11.24
2023-06-30,68.19,$2.84,24.05
2023-03-31,65.23,$2.84,23.01
2022-12-31,66.93,$3.94,16.97
2022-09-30,57.16,$-1.85,0.0
2022-06-30,53.23,$3.94,13.5
2022-03-31,59.4,$3.94,15.06
2021-12-31,63.02,$-2.48,0.0
2021-09-30,70.79,$1.18,60.01
2021-06-30,70.55,0,0.0
2020-12-31,69.72,0,0.0
2020-09-30,48.21,$3.69,13.07
2014-09-30,21.92,$1.21,18.08
2014-06-30,22.03,$1.21,18.17
2014-03-31,19.17,$1.21,15.81
2013-12-31,16.09,$0.72,22.44
2013-09-30,14.38,$0.72,20.06
2013-06-30,16.93,$0.72,23.61
2013-03-31,17.34,$0.72,24.18
2012-12-31,18.87,$0.54,34.67
2012-09-30,17.41,$0.37,46.9
2012-06-30,15.1,$0.37,40.69
2012-03-31,15.67,$1.02,15.41
2011-09-30,13.4,$0.47,28.32
2011-06-30,16.22,$0.65,25.1
2011-03-31,15.52,$0.65,24.02
2010-12-31,15.26,$1.49,10.24
2010-09-30,16.83,$1.49,11.3
2010-06-30,13.05,$1.49,8.76
2010-03-31,12.65,$1.49,8.49
2009-12-31,11.81,$1.65,7.16
2009-09-30,10.74,$1.65,6.52
